line_number,book_number,original_text
94,1,"Daß er nach Kundschaft forsche von seines Vaters Zurückkunft,"
95,1,Und ein edler Ruf ihn unter den Sterblichen preise.
96,1,"Also sprach sie, und band sich unter die Füße die schönen"
97,1,"Goldnen ambrosischen Sohlen, womit sie über die Wasser"
98,1,Und das unendliche Land im Hauche des Windes einherschwebt;
99,1,"Faßte die mächtige Lanze mit scharfer eherner Spitze,"
100,1,"Schwer und groß und stark, womit sie die Scharen der Helden"
101,1,"Stürzt, wenn im Zorn sich erhebt die Tochter des schrecklichen Vaters."
102,1,"Eilend fuhr sie hinab von den Gipfeln des hohen Olympos,"
103,1,"Stand nun in Ithakas Stadt, am Tore des Helden Odysseus,"
104,1,"Vor der Schwelle des Hofs, und hielt die eherne Lanze,"
105,1,"Gleich dem Freunde des Hauses, dem Fürsten der Taphier Mentes."
106,1,Aber die mutigen Freier erblickte sie an des Palastes
107,1,"Pforte, wo sie ihr Herz mit Steineschieben ergötzten,"
108,1,"Hin auf Häuten der Rinder gestreckt, die sie selber geschlachtet."
109,1,Herold' eilten umher und fleißige Diener im Hause:
110,1,Jene mischten für sie den Wein in den Kelchen mit Wasser;
111,1,"Diese säuberten wieder mit lockern Schwämmen die Tische,"
112,1,"Stellten in Reihen sie hin, und teilten die Menge des Fleisches."
113,1,"Pallas erblickte zuerst Telemachos, ähnlich den Göttern."
114,1,Unter den Freiern saß er mit traurigem Herzen; denn immer
115,1,Schwebte vor seinem Geiste das Bild des trefflichen Vaters:
116,1,"Ob er nicht endlich käme, die Freier im Hause zerstreute,"
117,1,"Und, mit Ehre gekrönt, sein Eigentum wieder beherrschte."
118,1,"Dem nachdenkend, saß er bei jenen, erblickte die Göttin,"
119,1,"Und ging schnell nach der Pforte des Hofs, unwillig im Herzen,"
120,1,"Daß ein Fremder so lang' an der Türe harrte; empfing sie,"
121,1,"Drückt' ihr die rechte Hand, und nahm die eherne Lanze,"
122,1,"Redete freundlich sie an, und sprach die geflügelten Worte:"
123,1,"Freue dich, fremder Mann! Sei uns willkommen; und hast du"
124,1,"Dich mit Speise gestärkt, dann sage, was du begehrest."
125,1,"Also sprach er, und ging; ihm folgete Pallas Athene."
126,1,Als sie jetzt in den Saal des hohen Palastes gekommen;
127,1,"Trug er die Lanz' in das schöngetäfelte Speerbehältnis,"
128,1,"An die hohe Säule sie lehnend, an welcher noch viele"
129,1,Andere Lanzen stunden des leidengeübten Odysseus.
130,1,"Pallas führt' er zum Thron, und breitet' ein Polster ihr unter,"
131,1,"Schön und künstlich gewirkt; ein Schemel stützte die Füße,"
132,1,"Neben ihr setzt' er sich selbst auf einen prächtigen Sessel,"
133,1,Von den Freiern entfernt: daß nicht dem Gaste die Mahlzeit
134,1,Durch das wüste Getümmel der Trotzigen würde verleidet;
135,1,Und er um Kundschaft ihn von seinem Vater befragte.
136,1,"Eine Dienerin trug in der schönen goldenen Kanne,"
137,1,"Über dem silbernen Becken, das Wasser, beströmte zum Waschen"
138,1,"Ihnen die Händ', und stellte vor sie die geglättete Tafel."
139,1,"Und die ehrbare Schaffnerin kam, und tischte das Brot auf,"
140,1,Und der Gerichte viel aus ihrem gesammelten Vorrat.
141,1,"Hierauf kam der Zerleger, und bracht' in erhobenen Schüsseln"
142,1,"Allerlei Fleisch, und setzte vor sie die goldenen Becher."
143,1,Und ein geschäftiger Herold versorgte sie reichlich mit Weine.
144,1,"Jetzo kamen auch die mutigen Freier, und saßen"
145,1,All' in langen Reihen auf prächtigen Thronen und Sesseln.
146,1,Herolde gossen ihnen das Wasser über die Hände.
147,1,Aber die Mägde setzten gehäufte Körbe mit Brot auf
148,1,"Jünglinge füllten die Kelche bis oben mit dem Getränke,"
149,1,Und sie erhoben die Hände zum leckerbereiteten Mahle.
150,1,"Und nachdem die Begierde des Tranks und der Speise gestillt war,"
151,1,"Dachten die üppigen Freier auf neue Reize der Seelen,"
152,1,"Auf Gesang und Tanz, des Mahles liebliche Zierden."
153,1,Und ein Herold reichte die schöngebildete Harfe
154,1,"Phemios hin, der an Kunst des Gesangs vor allen berühmt war,"
155,1,"Phemios, der bei den Freiern gezwungen wurde zu singen."
156,1,"Prüfend durchrauscht' er die Saiten, und hub den schönen Gesang an."
157,1,"Aber Telemachos neigte das Haupt zu Pallas Athene,"
158,1,"Und sprach leise zu ihr, damit es die andern nicht hörten:"
159,1,"Lieher Gastfreund, wirst du mir auch die Rede verargen?"
160,1,Diese können sich wohl bei Saitenspiel' und Gesange
161,1,"Freun, da sie ungestraft des Mannes Habe verschwelgen,"
162,1,Dessen weißes Gebein vielleicht schon an fernem Gestade
163,1,"Modert im Regen, vielleicht von den Meereswogen gewälzt wird."
164,1,Sähen sie jenen einmal zurück in Ithaka kommen;
165,1,"Alle wünschten gewiß sich lieber noch schnellere Füße,"
166,1,Als noch größere Last an Gold' und prächtigen Kleidern.
167,1,"Aber es war sein Verhängnis, so hinzusterben; und keine"
168,1,"Hoffnung erfreuet uns mehr, wenn auch zuweilen ein Fremdling"
169,1,"Sagt, er komme zurück. Der Tag ist auf immer verloren!"
170,1,"Aber verkündige mir, und sage die lautere Wahrheit."
171,1,"Wer, wes Volkes bist du? und wo ist deine Geburtstadt?"
172,1,Und in welcherlei Schiff kamst du? wie brachten die Schiffer
173,1,Dich nach Ithaka her? was rühmen sich jene vor Leute?
174,1,Denn unmöglich bist du doch hier zu Fuße gekommen!
175,1,"Dann erzähle mir auch aufrichtig, damit ich es wisse:"
176,1,"Bist du in Ithaka noch ein Neuling, oder ein Gastfreund"
177,1,Meines Vaters? Denn unser Haus besuchten von jeher
178,1,"Viele Männer, und er mocht' auch mit Leuten wohl umgehn."
179,1,Drauf antwortete Zeus' blauäugichte Tochter Athene:
180,1,"Dieses will ich dir alles, und nach der Wahrheit, erzählen."
181,1,"Mentes, Anchialos Sohn, des kriegserfahrenen Helden,"
