line_number,book_number,original_text
92,1,"Jetzo begann er getrost, und sprach, der untadliche Seher:"
93,1,"Nicht versäumte Gelübd' erzürnten ihn, noch Hekatomben;"
94,1,"Sondern er zürnt um den Priester, den also entehrt' Agamemnon,"
95,1,"Nicht die Tochter befreit', und nicht annahm die Erlösung:"
96,1,"Darum gab uns Jammer der Treffende, wird es auch geben."
97,1,"Nicht wird jener die schreckliche Hand abziehn vom Verderben,"
98,1,Bis man zurück dem Vater das freudigblickende Mägdlein
99,1,"Hingibt, frei, ohn' Entgelt, und mit heiliger Festhekatombe"
100,1,Heim gern Chrysa entführt. Das möcht' ihn vielleicht versöhnen.
101,1,"Also redete jener, und setzte sich. Wieder erhub sich"
102,1,"Atreus Heldensohn, der Völkerfürst Agamemnon,"
103,1,"Zürnend vor Schmerz; es schwoll ihm das finstere Herz voll der Galle,"
104,1,Schwarz umströmt; und den Augen entfunkelte strahlendes Feuer.
105,1,Gegen Kalchas zuerst mit drohendem Blicke begann er:
106,1,"Unglücksseher, der nie auch ein heilsames Wort mir geredet!"
107,1,Immerdar nur Böses erfreut dein Herz zu verkünden!
108,1,"Gutes hast du noch nimmer geweissagt, oder vollendet!"
109,1,"Jetzt auch meldest du hier als Götterspruch den Achaiern,"
110,1,"Darum habe dem Volk der Treffende Wehe bereitet,"
111,1,Weil für Chryses Tochter ich selbst die köstliche Lösung
112,1,Anzunehmen verwarf. Denn traun! weit lieber behielt' ich
113,1,"Solche daheim; da ich höher wie Klytämnestra sie achte,"
114,1,"Meiner Jugend Vermählte: denn nicht ist jene geringer,"
115,1,"Weder an Bildung und Wuchs, noch an Geist und künstlicher Arbeit."
116,1,"Dennoch geb' ich sie willig zurück, ist solches ja besser."
117,1,"Lieber mög' ich das Volk errettet schaun, denn verderbend."
118,1,"Gleich nur ein Ehrengeschenk bereitet mir, daß ich allein nicht"
119,1,Ungeehrt der Danaer sei; nie wäre das schicklich!
120,1,"Denn das seht ihr alle, daß mein Geschenk mir entgehet."
121,1,Ihm antwortete drauf der mutige Renner Achilleus:
122,1,"Atreus Sohn, ruhmvoller, du habbegierigster aller,"
123,1,Welches Geschenk verlangst du vom edlen Volk der Achaier?
124,1,Nirgends wissen wir doch des gemeinsamen vieles verwahret:
125,1,"Sondern so viel wir aus Städten erbeuteten, wurde geteilet;"
126,1,"Auch nicht ziemt es dem Volke, das einzelne wieder zu sammeln."
127,1,Aber entlass' du jetzo dem Gotte sie; und wir Achaier
128,1,"Wollen sie dreifach ersetzen und vierfach, wenn uns einmal Zeus"
129,1,"Gönnen wird, der Troer befestigte Stadt zu verwüsten."
130,1,Gegen ihn rief antwortend der Völkerfürst Agamemnon:
131,1,"Nicht also, wie tapfer du seist, gottgleicher Achilleus,"
132,1,"Sinn' auf Trug! Nie wirst du mich schlau umgehn, noch bereden!"
133,1,"Willst du, indes dir bleibt das Geschenk, daß ich selber umsonst hier"
134,1,"Sitze, des meinen beraubt? und gebietest mir, frei sie zu geben?"
135,1,"Wohl denn, wofern mir ein andres verleihn die edlen Achaier,"
136,1,"Meinem Sinn es erlesend, das mir ein voller Ersatz sei!"
137,1,"Aber verleihn sie es nicht; dann komm' ich selber, und nehm' es,"
138,1,"Deines vielleicht, auch des Ajas Geschenk wohl, oder Odysseus'"
139,1,"Führ' ich hinweg; und zürnen vielleicht wird, welchem ich nahe!"
140,1,Doch von solcherlei Dingen ist Zeit zu reden auch künftig.
141,1,"Auf nun, zieht ein schwärzliches Schiff in die heilige Meerflut;"
142,1,Sammelt hinein vollzählig die Ruderer; bringt auch Apollons
143,1,"Hekatomb'; und sie selbst, des Chryses rosige Tochter,"
144,1,Führet hinein; und Gebieter des Schiffs sei der Könige einer:
145,1,"Ajas, oder der Held Idomeneus, oder Odysseus,"
146,1,"Oder auch du, Peleide, du schrecklichster unter den Männern!"
147,1,Daß du den Treffenden uns durch heilige Opfer besänftigst.
148,1,Finster schaut' und begann der mutige Renner Achilleus:
149,1,"Ha, du in Unverschämtheit gehülleter, sinnend auf Vorteil!"
150,1,"Wie doch gehorcht dir willig noch einer im Heer der Achaier,"
151,1,"Einen Gang dir zu gehn, und kühn mit dem Feinde zu kämpfen?"
152,1,"Nicht ja wegen der Troer, der lanzenkundigen, kam ich"
153,1,Mit hieher in den Streit; sie haben's an mir nicht verschuldet.
154,1,"Denn nie haben sie mir die Rosse geraubt, noch die Rinder;"
155,1,"Nie auch haben in Phtia, dem scholligen Männergefilde,"
156,1,"Meine Frucht sie verletzt; indem viel Raumes uns sondert,"
157,1,"Waldbeschattete Berg', und des Meers weitrauschende Wogen."
158,1,"Dir, schamlosester Mann, dir folgten wir, daß du dich freutest;"
159,1,"Nur Menelaos zu rächen, und dich, du Ehrevergeßner,"
160,1,"An den Troern! Das achtest du nichts, noch kümmert dich solches!"
161,1,"Selbst mein Ehrengeschenk, das drohest du mir zu entreißen,"
162,1,"Welches mit Schweiß ich errungen, und mir verehrt die Achaier!"
163,1,"Hab' ich doch nie ein Geschenk, wie das deinige, wann die Achaier"
164,1,Eine bevölkerte Stadt des troischen Volkes verwüstet;
165,1,Sondern die schwerste Last des tobenden Schlachtengetümmels
166,1,"Trag' ich mit meinem Arm: doch kommt zur Teilung es endlich,"
167,1,"Dein ist das größte Geschenk; und ich, mit wenigem fröhlich,"
168,1,"Kehre heim zu den Schiffen, nachdem ich erschlafft von dem Streite."
169,1,"Doch nun geh' ich gen Phtia! denn weit zuträglicher ist es,"
170,1,"Heim mit den Schiffen zu gehn, den gebogenen! Schwerlich auch wirst du,"
171,1,"Weil du allhier mich entehrst, noch Schätz' und Güter dir häufen!"
172,1,Ihm antwortete drauf der Herrscher des Volks Agamemnon:
173,1,"Fliehe nur, wenn's dein Herz dir gebeut! Nie werd' ich dich wahrlich"
174,1,"Anflehn, meinethalb zu verziehn! Mir bleiben noch andre,"
175,1,Ehre mir zu erwerben; zumal Zeus waltende Vorsicht!
176,1,Ganz verhaßt mir bist du vor allen beseligten Herrschern!
177,1,"Stets doch hast du den Zank nur geliebt, und die Kämpf' und die Schlachten!"
178,1,"Wenn du ein Stärkerer bist, ein Gott hat dir solches verliehen!"
179,1,"Schiffe denn heim, du selbst mit den Deinigen, daß du in Ruhe"
180,1,Myrmidonen gebietest! denn du bist nichts mir geachtet;
181,1,Nichts auch gilt mir dein Pochen! vielmehr noch droh' ich dir also:
182,1,"Weil mir Chryses Tochter hinwegnimmt Phöbos Apollon,"
183,1,Werd' ich sie mit eigenem Schiff und eignen Genossen
184,1,Senden; allein ich hole die rosige Tochter des Brises
185,1,"Selbst mir aus deinem Gezelt, dein Ehrengeschenk: daß du lernest,"
186,1,"Wie viel höher ich sei als du, und ein anderer zage,"
187,1,"Gleich sich mir zu wähnen, und so mir zu trotzen ins Antlitz!"
188,1,"Jener sprach's; da entbrannte der Peleion', und das Herz ihm"
189,1,"Unter der zottigen Brust ratschlagete, wankendes Sinnes:"
190,1,Ob er das schneidende Schwert alsbald von der Hüfte sich reißend
191,1,"Trennen sie sollt' auseinander, und niederhaun den Atreiden;"
192,1,"Oder stillen den Zorn, und die mutige Seele beherrschen."
193,1,"Als er solches erwog in des Herzens Geist und Empfindung,"
194,1,Und er das große Schwert schon hervorzog; naht' ihm vom Himmel
195,1,"Pallas Athen', entsandt von der lilienarmigen Here,"
196,1,Die für beide zugleich in liebender Seele besorgt war.
197,1,"Hinter ihn trat sie, und faßte das bräunliche Haar des Peleiden,"
198,1,Ihm allein sich enthüllend; der anderen schaute sie keiner.
199,1,Staunend zuckte der Held und wandte sich: plötzlich erkannt' er
200,1,"Pallas Athenens Gestalt, und fürchterlich strahlt' ihm ihr Auge."
201,1,"Und er begann zu jener, und sprach die geflügelten Worte:"
202,1,"Warum, o Tochter Zeus des Ägiserschütterers, kamst du?"
203,1,Etwa den Frevel zu schaun von Atreus Sohn Agamemnon?
204,1,"Aber ich sage dir an, und das wird wahrlich vollendet:"
