line_number,book_number,original_text,verse_normalized,verse_syllabified
1,1,"Singe den Zorn, o Göttin, des Peleiaden Achilleus,",singe den zorn o göttin des peleiaden achilleus,sin|ge|den|zorn|o|göt|tin|des|pe|lei|a|den|a|chil|leus
2,1,"Ihn, der entbrannt den Achaiern unnennbaren Jammer erregte,",ihn der entbrannt den achaiern unnennbaren jammer erregte,ihn|der|ent|brannt|den|a|chai|ern|un|nenn|ba|ren|jam|mer|er|reg|te
3,1,Und viel tapfere Seelen der Heldensöhne zum Aïs,und viel tapfere seelen der heldensöhne zum aïs,und|viel|tap|fe|re|see|len|der|hel|den|söh|ne|zum|a|ïs
4,1,"Sendete, aber sie selbst zum Raub darstellte den Hunden,",sendete aber sie selbst zum raub darstellte den hunden,sen|de|te|a|ber|sie|selbst|zum|raub|dar|stell|te|den|hun|den
5,1,Und dem Gevögel umher. So ward Zeus Wille vollendet:,und dem gevögel umher so ward zeus wille vollendet,und|dem|ge|vö|gel|um|her|so|ward|zeus|wil|le|voll|en|det
6,1,"Seit dem Tag, als erst durch bitteren Zank sich entzweiten",seit dem tag als erst durch bitteren zank sich entzweiten,seit|dem|tag|als|erst|durch|bit|te|ren|zank|sich|ent|zwei|ten
7,1,"Atreus Sohn, der Herrscher des Volks, und der edle Achilleus.",atreus sohn der herrscher des volks und der edle achilleus,a|treus|sohn|der|herr|scher|des|volks|und|der|ed|le|a|chil|leus
8,1,Wer hat jene der Götter empört zu feindlichem Hader?,wer hat jene der götter empört zu feindlichem hader,wer|hat|je|ne|der|göt|ter|em|pört|zu|feind|li|chem|ha|der
9,1,"Letos Sohn und des Zeus. Denn der, dem Könige zürnend,",letos sohn und des zeus denn der dem könige zürnend,le|tos|sohn|und|des|zeus|denn|der|dem|kö|ni|ge|zür|nend
10,1,Sandte verderbliche Seuche durchs Heer; und es sanken die Völker:,sandte verderbliche seuche durchs heer und es sanken die völker,sand|te|ver|derb|li|che|seu|che|durchs|heer|und|es|san|ken|die|völ|ker
11,1,"Drum weil ihm den Chryses beleidiget, seinen Priester,",drum weil ihm den chryses beleidiget seinen priester,drum|weil|ihm|den|chry|ses|be|lei|di|get|sei|nen|pries|ter
12,1,"Atreus Sohn. Denn er kam zu den rüstigen Schiffen Achaias,",atreus sohn denn er kam zu den rüstigen schiffen achaias,a|treus|sohn|denn|er|kam|zu|den|rüs|ti|gen|schif|fen|a|chai|as
13,1,"Frei zu kaufen die Tochter, und bracht' unendliche Lösung,",frei zu kaufen die tochter und bracht' unendliche lösung,frei|zu|kau|fen|die|toch|ter|und|bracht'|un|end|li|che|lö|sung
14,1,Tragend den Lorbeerschmuck des treffenden Phöbos Apollon,tragend den lorbeerschmuck des treffenden phöbos apollon,tra|gend|den|lor|beer|schmuck|des|tref|fen|den|phö|bos|a|pol|lon
15,1,"Und den goldenen Stab; und er flehete laut den Achaiern,",und den goldenen stab und er flehete laut den achaiern,und|den|gol|de|nen|stab|und|er|fle|he|te|laut|den|a|chai|ern
16,1,"Doch den Atreiden vor allen, den zween Feldherren der Völker:",doch den atreiden vor allen den zween feldherren der völker,doch|den|a|trei|den|vor|al|len|den|zween|feld|her|ren|der|völ|ker
17,1,"Atreus Söhn', und ihr andern, ihr hellumschienten Achaier,",atreus söhn' und ihr andern ihr hellumschienten achaier,a|treus|söhn'|und|ihr|an|dern|ihr|hel|lum|schien|ten|a|chai|er
18,1,"Euch verleihn die Götter, olympischer Höhen Bewohner,",euch verleihn die götter olympischer höhen bewohner,euch|ver|leihn|die|göt|ter|o|lym|pi|scher|hö|hen|be|woh|ner
19,1,"Priamos Stadt zu vertilgen, und wohl nach Hause zu kehren;",priamos stadt zu vertilgen und wohl nach hause zu kehren,pri|a|mos|stadt|zu|ver|til|gen|und|wohl|nach|hau|se|zu|keh|ren
20,1,"Doch mir gebt die Tochter zurück, und empfahet die Lösung,",doch mir gebt die tochter zurück und empfahet die lösung,doch|mir|gebt|die|toch|ter|zu|rück|und|emp|fa|het|die|lö|sung
21,1,Ehrfurchtsvoll vor Zeus ferntreffendem Sohn Apollon.,ehrfurchtsvoll vor zeus ferntreffendem sohn apollon,ehr|furchts|voll|vor|zeus|fern|tref|fen|dem|sohn|a|pol|lon
22,1,"Drauf gebot beifallend das ganze Heer der Achaier,",drauf gebot beifallend das ganze heer der achaier,drauf|ge|bot|bei|fal|lend|das|gan|ze|heer|der|a|chai|er
23,1,"Ehrend den Priester zu scheun, und die köstliche Lösung zu nehmen.",ehrend den priester zu scheun und die köstliche lösung zu nehmen,eh|rend|den|pries|ter|zu|scheun|und|die|köst|li|che|lö|sung|zu|neh|men
24,1,"Aber nicht Agamemnon, des Atreus Sohne, gefiel es;",aber nicht agamemnon des atreus sohne gefiel es,a|ber|nicht|a|ga|mem|non|des|a|treus|soh|ne|ge|fiel|es
25,1,"Dieser entsandt' ihn mit Schmach, und befahl die drohenden Worte:",dieser entsandt' ihn mit schmach und befahl die drohenden worte,die|ser|ent|sandt'|ihn|mit|schmach|und|be|fahl|die|dro|hen|den|wor|te
26,1,"Daß ich nimmer, o Greis, bei den räumigen Schiffen dich treffe,",daß ich nimmer o greis bei den räumigen schiffen dich treffe,daß|ich|nim|mer|o|greis|bei|den|räu|mi|gen|schif|fen|dich|tref|fe
27,1,"Weder anitzt hier zaudernd, noch wiederkehrend in Zukunft!",weder anitzt hier zaudernd noch wiederkehrend in zukunft,we|der|a|nitzt|hier|zau|dernd|noch|wie|der|keh|rend|in|zu|kunft
28,1,"Kaum wohl möchte dir helfen der Stab, und der Lorbeer des Gottes!",kaum wohl möchte dir helfen der stab und der lorbeer des gottes,kaum|wohl|möch|te|dir|hel|fen|der|stab|und|der|lor|beer|des|got|tes
29,1,"Jene lös' ich dir nicht, bis einst das Alter ihr nahet,",jene lös' ich dir nicht bis einst das alter ihr nahet,je|ne|lös'|ich|dir|nicht|bis|einst|das|al|ter|ihr|na|het
30,1,"Wann sie in meinem Palast in Argos, fern von der Heimat,",wann sie in meinem palast in argos fern von der heimat,wann|sie|in|mei|nem|pa|last|in|ar|gos|fern|von|der|hei|mat
31,1,"Mir als Weberin dient, und meines Bettes Genossin!",mir als weberin dient und meines bettes genossin,mir|als|we|be|rin|dient|und|mei|nes|bet|tes|ge|nos|sin
32,1,"Gehe denn, reize mich nicht; daß wohlbehalten du kehrest!",gehe denn reize mich nicht daß wohlbehalten du kehrest,ge|he|denn|rei|ze|mich|nicht|daß|wohl|be|hal|ten|du|keh|rest
33,1,"Jener sprach's: doch Chryses erschrak, und gehorchte der Rede.",jener sprach's doch chryses erschrak und gehorchte der rede,je|ner|sprach's|doch|chry|ses|er|schrak|und|ge|horch|te|der|re|de
34,1,Schweigend ging er am Ufer des weitaufrauschenden Meeres;,schweigend ging er am ufer des weitaufrauschenden meeres,schwei|gend|ging|er|am|u|fer|des|weit|auf|rau|schen|den|mee|res
35,1,"Und wie er einsam jetzt hinwandelte, flehte der Alte",und wie er einsam jetzt hinwandelte flehte der alte,und|wie|er|ein|sam|jetzt|hin|wan|del|te|fleh|te|der|al|te
36,1,"Viel zum Herrscher Apollon, dem Sohn der lockigen Leto:",viel zum herrscher apollon dem sohn der lockigen leto,viel|zum|herr|scher|a|pol|lon|dem|sohn|der|lo|cki|gen|le|to
37,1,"Höre mich, Gott, der du Chrysa mit silbernem Bogen umwandelst,",höre mich gott der du chrysa mit silbernem bogen umwandelst,hö|re|mich|gott|der|du|chry|sa|mit|sil|ber|nem|bo|gen|um|wan|delst
38,1,"Samt der heiligen Killa, und Tenedos mächtig beherrschest,",samt der heiligen killa und tenedos mächtig beherrschest,samt|der|hei|li|gen|kil|la|und|te|ne|dos|mäch|tig|be|herr|schest
39,1,"Smintheus! hab ich dir je den prangenden Tempel gekränzet,",smintheus hab ich dir je den prangenden tempel gekränzet,smin|theus|hab|ich|dir|je|den|pran|gen|den|tem|pel|ge|krän|zet
40,1,Oder hab' ich dir je von erlesenen Farren und Ziegen,oder hab' ich dir je von erlesenen farren und ziegen,o|der|hab'|ich|dir|je|von|er|le|se|nen|far|ren|und|zie|gen
41,1,Fette Schenkel verbrannt; so gewähre mir dieses Verlangen:,fette schenkel verbrannt so gewähre mir dieses verlangen,fet|te|schen|kel|ver|brannt|so|ge|wäh|re|mir|die|ses|ver|lan|gen
42,1,Meine Tränen vergilt mit deinem Geschoß den Achaiern!,meine tränen vergilt mit deinem geschoß den achaiern,mei|ne|trä|nen|ver|gilt|mit|dei|nem|ge|schoß|den|a|chai|ern
43,1,Also rief er betend; ihn hörete Phöbos Apollon.,also rief er betend ihn hörete phöbos apollon,al|so|rief|er|be|tend|ihn|hö|re|te|phö|bos|a|pol|lon
44,1,"Schnell von den Höhn des Olympos enteilet' er, zürnendes Herzens,",schnell von den höhn des olympos enteilet' er zürnendes herzens,schnell|von|den|höhn|des|o|lym|pos|ent|ei|let'|er|zür|nen|des|her|zens
45,1,Auf der Schulter den Bogen und ringsverschlossenen Köcher.,auf der schulter den bogen und ringsverschlossenen köcher,auf|der|schul|ter|den|bo|gen|und|rings|ver|schlos|se|nen|kö|cher
46,1,"Laut erschallen die Pfeile zugleich an des Zürnenden Schulter,",laut erschallen die pfeile zugleich an des zürnenden schulter,laut|er|schal|len|die|pfei|le|zu|gleich|an|des|zür|nen|den|schul|ter
47,1,"Als er einher sich bewegt'; er wandelte, düster wie Nachtgraun;",als er einher sich bewegt' er wandelte düster wie nachtgraun,als|er|ein|her|sich|be|wegt'|er|wan|del|te|düs|ter|wie|nacht|graun
48,1,"Setzte sich drauf von den Schiffen entfernt, und schnellte den Pfeil ab;",setzte sich drauf von den schiffen entfernt und schnellte den pfeil ab,setz|te|sich|drauf|von|den|schif|fen|ent|fernt|und|schnell|te|den|pfeil|ab
49,1,Und ein schrecklicher Klang entscholl dem silbernen Bogen.,und ein schrecklicher klang entscholl dem silbernen bogen,und|ein|schreck|li|cher|klang|ent|scholl|dem|sil|ber|nen|bo|gen
50,1,Nur Maultier' erlegt' er zuerst und hurtige Hunde:,nur maultier' erlegt' er zuerst und hurtige hunde,nur|maul|tier'|er|legt'|er|zu|erst|und|hur|ti|ge|hun|de
51,1,"Doch nun gegen sie selbst das herbe Geschoß hinwendend,",doch nun gegen sie selbst das herbe geschoß hinwendend,doch|nun|ge|gen|sie|selbst|das|her|be|ge|schoß|hin|wen|dend
52,1,Traf er; und rastlos brannten die Totenfeuer in Menge.,traf er und rastlos brannten die totenfeuer in menge,traf|er|und|rast|los|brann|ten|die|to|ten|feu|er|in|men|ge
53,1,Schon neun Tage durchflogen das Heer die Geschosse des Gottes.,schon neun tage durchflogen das heer die geschosse des gottes,schon|neun|ta|ge|durch|flo|gen|das|heer|die|ge|schos|se|des|got|tes
54,1,"Drauf am zehnten berief des Volks Versammlung Achilleus,",drauf am zehnten berief des volks versammlung achilleus,drauf|am|zehn|ten|be|rief|des|volks|ver|samm|lung|a|chil|leus
55,1,Dem in die Seel' es legte die lilienarmige Here;,dem in die seel' es legte die lilienarmige here,dem|in|die|seel'|es|leg|te|die|li|lien|ar|mi|ge|he|re
56,1,"Denn sie sorgt' um der Danaer Volk, die Sterbenden schauend.",denn sie sorgt' um der danaer volk die sterbenden schauend,denn|sie|sorgt'|um|der|da|na|er|volk|die|ster|ben|den|schau|end
57,1,"Als sie nunmehr sich versammelt, und voll gedrängt die Versammlung;",als sie nunmehr sich versammelt und voll gedrängt die versammlung,als|sie|nun|mehr|sich|ver|sam|melt|und|voll|ge|drängt|die|ver|samm|lung
58,1,Trat hervor und begann der mutige Renner Achilleus:,trat hervor und begann der mutige renner achilleus,trat|her|vor|und|be|gann|der|mu|ti|ge|ren|ner|a|chil|leus
59,1,"Atreus Sohn, nun denk' ich, wir ziehn den vorigen Irrweg",atreus sohn nun denk' ich wir ziehn den vorigen irrweg,a|treus|sohn|nun|denk'|ich|wir|ziehn|den|vo|ri|gen|irr|weg
60,1,"Wieder nach Hause zurück, wofern wir entrinnen dem Tode;",wieder nach hause zurück wofern wir entrinnen dem tode,wie|der|nach|hau|se|zu|rück|wo|fern|wir|ent|rin|nen|dem|to|de
61,1,Weil ja zugleich der Krieg und die Pest hinrafft die Achaier.,weil ja zugleich der krieg und die pest hinrafft die achaier,weil|ja|zu|gleich|der|krieg|und|die|pest|hin|rafft|die|a|chai|er
62,1,"Aber wohlan, fragt einen der Opferer, oder der Seher,",aber wohlan fragt einen der opferer oder der seher,a|ber|wohl|an|fragt|ei|nen|der|op|fe|rer|o|der|der|se|her
63,1,Oder auch Traumausleger; auch Träume ja kommen von Zeus her:,oder auch traumausleger auch träume ja kommen von zeus her,o|der|auch|trau|maus|le|ger|auch|träu|me|ja|kom|men|von|zeus|her
64,1,"Der uns sage, warum so ereiferte Phöbos Apollon:",der uns sage warum so ereiferte phöbos apollon,der|uns|sa|ge|war|um|so|er|ei|fer|te|phö|bos|a|pol|lon
65,1,"Ob versäumte Gelübd' ihn erzürneten, ob Hekatomben:",ob versäumte gelübd' ihn erzürneten ob hekatomben,ob|ver|säum|te|ge|lübd'|ihn|er|zür|ne|ten|ob|he|ka|tom|ben
66,1,Wenn vielleicht der Lämmer Gedüft und erlesener Ziegen,wenn vielleicht der lämmer gedüft und erlesener ziegen,wenn|viel|leicht|der|läm|mer|ge|düft|und|er|le|se|ner|zie|gen
67,1,"Er zum Opfer begehrt, von uns die Plage zu wenden.",er zum opfer begehrt von uns die plage zu wenden,er|zum|op|fer|be|gehrt|von|uns|die|pla|ge|zu|wen|den
68,1,"Also redete jener, und setzte sich. Wieder erhub sich",also redete jener und setzte sich wieder erhub sich,al|so|re|de|te|je|ner|und|setz|te|sich|wie|der|er|hub|sich
69,1,"Kalchas der Thestoride, der weiseste Vogelschauer,",kalchas der thestoride der weiseste vogelschauer,kal|chas|der|thes|to|ri|de|der|wei|ses|te|vo|gel|schau|er
70,1,"Der erkannte, was ist, was sein wird, oder zuvor war,",der erkannte was ist was sein wird oder zuvor war,der|er|kann|te|was|ist|was|sein|wird|o|der|zu|vor|war
71,1,Der auch her vor Troja der Danaer Schiffe geleitet,der auch her vor troja der danaer schiffe geleitet,der|auch|her|vor|tro|ja|der|da|na|er|schif|fe|ge|lei|tet
72,1,"Durch wahrsagenden Geist, des ihn würdigte Phöbos Apollon;",durch wahrsagenden geist des ihn würdigte phöbos apollon,durch|wahr|sa|gen|den|geist|des|ihn|wür|dig|te|phö|bos|a|pol|lon
73,1,"Dieser begann wohlmeinend, und redete vor der Versammlung:",dieser begann wohlmeinend und redete vor der versammlung,die|ser|be|gann|wohl|mei|nend|und|re|de|te|vor|der|ver|samm|lung
74,1,"Peleus Sohn, du gebeutst mir, o Göttlicher, auszudeuten",peleus sohn du gebeutst mir o göttlicher auszudeuten,pe|leus|sohn|du|ge|beutst|mir|o|gött|li|cher|aus|zu|deu|ten
75,1,"Diesen Zorn des Apollon, des fernhintreffenden Herrschers.",diesen zorn des apollon des fernhintreffenden herrschers,die|sen|zorn|des|a|pol|lon|des|fern|hin|tref|fen|den|herr|schers
76,1,"Gerne will ich's ansagen; doch du verheiße mit Eidschwur,",gerne will ich's ansagen doch du verheiße mit eidschwur,ger|ne|will|ich's|an|sa|gen|doch|du|ver|hei|ße|mit|eid|schwur
77,1,Daß du gewiß willfährig mit Wort und Händen mir helfest.,daß du gewiß willfährig mit wort und händen mir helfest,daß|du|ge|wiß|will|fäh|rig|mit|wort|und|hän|den|mir|hel|fest
78,1,"Denn leicht möcht' erzürnen ein Mann, der mächtiges Ansehns",denn leicht möcht' erzürnen ein mann der mächtiges ansehns,denn|leicht|möcht'|er|zür|nen|ein|mann|der|mäch|ti|ges|an|sehns
79,1,"Argos Völker beherrscht, und dem die Achaier gehorchen.",argos völker beherrscht und dem die achaier gehorchen,ar|gos|völ|ker|be|herrscht|und|dem|die|a|chai|er|ge|hor|chen
80,1,"Stärker ja ist ein König, der zürnt dem geringeren Manne.",stärker ja ist ein könig der zürnt dem geringeren manne,stär|ker|ja|ist|ein|kö|nig|der|zürnt|dem|ge|rin|ge|ren|man|ne
81,1,Wenn er auch die Galle den selbigen Tag noch zurückhält;,wenn er auch die galle den selbigen tag noch zurückhält,wenn|er|auch|die|gal|le|den|sel|bi|gen|tag|noch|zu|rück|hält
82,1,"Dennoch laur't ihm beständig der heimliche Groll in den Busen,",dennoch laur't ihm beständig der heimliche groll in den busen,den|noch|laur't|ihm|be|stän|dig|der|heim|li|che|groll|in|den|bu|sen
83,1,"Bis er ihn endlich gekühlt. Drum rede du, willst du mich schützen?",bis er ihn endlich gekühlt drum rede du willst du mich schützen,bis|er|ihn|end|lich|ge|kühlt|drum|re|de|du|willst|du|mich|schüt|zen
84,1,Ihm antwortete drauf der mutige Renner Achilleus:,ihm antwortete drauf der mutige renner achilleus,ihm|ant|wor|te|te|drauf|der|mu|ti|ge|ren|ner|a|chil|leus
85,1,"Sei getrost, und erkläre den Götterwink, den du wahrnahmst.",sei getrost und erkläre den götterwink den du wahrnahmst,sei|ge|trost|und|er|klä|re|den|göt|ter|wink|den|du|wahr|nahmst
86,1,"Denn bei Apollon fürwahr, Zeus Lieblinge, welchem, o Kalchas,",denn bei apollon fürwahr zeus lieblinge welchem o kalchas,denn|bei|a|pol|lon|für|wahr|zeus|lieb|lin|ge|wel|chem|o|kal|chas
87,1,"Flehend zuvor, den Achaiern der Götter Rat du enthüllest:",flehend zuvor den achaiern der götter rat du enthüllest,fle|hend|zu|vor|den|a|chai|ern|der|göt|ter|rat|du|ent|hül|lest
88,1,"Keiner, so lang' ich leb', und das Licht auf Erden noch schaue,",keiner so lang' ich leb' und das licht auf erden noch schaue,kei|ner|so|lang'|ich|leb'|und|das|licht|auf|er|den|noch|schau|e
89,1,"Soll bei den räumigen Schiffen mit frevelnder Hand dich berühren,",soll bei den räumigen schiffen mit frevelnder hand dich berühren,soll|bei|den|räu|mi|gen|schif|fen|mit|fre|veln|der|hand|dich|be|rüh|ren
90,1,"Aller Achaier umher! und nenntest du selbst Agamemnon,",aller achaier umher und nenntest du selbst agamemnon,al|ler|a|chai|er|um|her|und|nenn|test|du|selbst|a|ga|mem|non
91,1,Der nun mächtig zu sein vor allem Volke sich rühmet!,der nun mächtig zu sein vor allem volke sich rühmet,der|nun|mäch|tig|zu|sein|vor|al|lem|vol|ke|sich|rüh|met
92,1,"Jetzo begann er getrost, und sprach, der untadliche Seher:",jetzo begann er getrost und sprach der untadliche seher,jet|zo|be|gann|er|ge|trost|und|sprach|der|un|tad|li|che|se|her
93,1,"Nicht versäumte Gelübd' erzürnten ihn, noch Hekatomben;",nicht versäumte gelübd' erzürnten ihn noch hekatomben,nicht|ver|säum|te|ge|lübd'|er|zürn|ten|ihn|noch|he|ka|tom|ben
94,1,"Sondern er zürnt um den Priester, den also entehrt' Agamemnon,",sondern er zürnt um den priester den also entehrt' agamemnon,son|dern|er|zürnt|um|den|pries|ter|den|al|so|ent|ehrt'|a|ga|mem|non
95,1,"Nicht die Tochter befreit', und nicht annahm die Erlösung:",nicht die tochter befreit' und nicht annahm die erlösung,nicht|die|toch|ter|be|freit'|und|nicht|an|nahm|die|er|lö|sung
96,1,"Darum gab uns Jammer der Treffende, wird es auch geben.",darum gab uns jammer der treffende wird es auch geben,da|rum|gab|uns|jam|mer|der|tref|fen|de|wird|es|auch|ge|ben
97,1,"Nicht wird jener die schreckliche Hand abziehn vom Verderben,",nicht wird jener die schreckliche hand abziehn vom verderben,nicht|wird|je|ner|die|schreck|li|che|hand|ab|ziehn|vom|ver|der|ben
98,1,Bis man zurück dem Vater das freudigblickende Mägdlein,bis man zurück dem vater das freudigblickende mägdlein,bis|man|zu|rück|dem|va|ter|das|freu|dig|bli|cken|de|mägd|lein
99,1,"Hingibt, frei, ohn' Entgelt, und mit heiliger Festhekatombe",hingibt frei ohn' entgelt und mit heiliger festhekatombe,hin|gibt|frei|ohn'|ent|gelt|und|mit|hei|li|ger|fest|he|ka|tom|be
100,1,Heim gern Chrysa entführt. Das möcht' ihn vielleicht versöhnen.,heim gern chrysa entführt das möcht' ihn vielleicht versöhnen,heim|gern|chry|sa|ent|führt|das|möcht'|ihn|viel|leicht|ver|söh|nen
101,1,"Also redete jener, und setzte sich. Wieder erhub sich",also redete jener und setzte sich wieder erhub sich,al|so|re|de|te|je|ner|und|setz|te|sich|wie|der|er|hub|sich
102,1,"Atreus Heldensohn, der Völkerfürst Agamemnon,",atreus heldensohn der völkerfürst agamemnon,a|treus|hel|den|sohn|der|völ|ker|fürst|a|ga|mem|non
103,1,"Zürnend vor Schmerz; es schwoll ihm das finstere Herz voll der Galle,",zürnend vor schmerz es schwoll ihm das finstere herz voll der galle,zür|nend|vor|schmerz|es|schwoll|ihm|das|fins|te|re|herz|voll|der|gal|le
104,1,Schwarz umströmt; und den Augen entfunkelte strahlendes Feuer.,schwarz umströmt und den augen entfunkelte strahlendes feuer,schwarz|um|strömt|und|den|au|gen|ent|fun|kel|te|strah|len|des|feu|er
105,1,Gegen Kalchas zuerst mit drohendem Blicke begann er:,gegen kalchas zuerst mit drohendem blicke begann er,ge|gen|kal|chas|zu|erst|mit|dro|hen|dem|bli|cke|be|gann|er
106,1,"Unglücksseher, der nie auch ein heilsames Wort mir geredet!",unglücksseher der nie auch ein heilsames wort mir geredet,un|glücks|se|her|der|nie|auch|ein|heil|sa|mes|wort|mir|ge|re|det
107,1,Immerdar nur Böses erfreut dein Herz zu verkünden!,immerdar nur böses erfreut dein herz zu verkünden,im|mer|dar|nur|bö|ses|er|freut|dein|herz|zu|ver|kün|den
108,1,"Gutes hast du noch nimmer geweissagt, oder vollendet!",gutes hast du noch nimmer geweissagt oder vollendet,gu|tes|hast|du|noch|nim|mer|ge|weis|sagt|o|der|voll|en|det
109,1,"Jetzt auch meldest du hier als Götterspruch den Achaiern,",jetzt auch meldest du hier als götterspruch den achaiern,jetzt|auch|mel|dest|du|hier|als|göt|ter|spruch|den|a|chai|ern
110,1,"Darum habe dem Volk der Treffende Wehe bereitet,",darum habe dem volk der treffende wehe bereitet,da|rum|ha|be|dem|volk|der|tref|fen|de|we|he|be|rei|tet
111,1,Weil für Chryses Tochter ich selbst die köstliche Lösung,weil für chryses tochter ich selbst die köstliche lösung,weil|für|chry|ses|toch|ter|ich|selbst|die|köst|li|che|lö|sung
112,1,Anzunehmen verwarf. Denn traun! weit lieber behielt' ich,anzunehmen verwarf denn traun weit lieber behielt' ich,an|zu|neh|men|ver|warf|denn|traun|weit|lie|ber|be|hielt'|ich
113,1,"Solche daheim; da ich höher wie Klytämnestra sie achte,",solche daheim da ich höher wie klytämnestra sie achte,sol|che|da|heim|da|ich|hö|her|wie|kly|täm|ne|stra|sie|ach|te
114,1,"Meiner Jugend Vermählte: denn nicht ist jene geringer,",meiner jugend vermählte denn nicht ist jene geringer,mei|ner|ju|gend|ver|mähl|te|denn|nicht|ist|je|ne|ge|rin|ger
115,1,"Weder an Bildung und Wuchs, noch an Geist und künstlicher Arbeit.",weder an bildung und wuchs noch an geist und künstlicher arbeit,we|der|an|bil|dung|und|wuchs|noch|an|geist|und|künst|li|cher|ar|beit
116,1,"Dennoch geb' ich sie willig zurück, ist solches ja besser.",dennoch geb' ich sie willig zurück ist solches ja besser,den|noch|geb'|ich|sie|wil|lig|zu|rück|ist|sol|ches|ja|bes|ser
117,1,"Lieber mög' ich das Volk errettet schaun, denn verderbend.",lieber mög' ich das volk errettet schaun denn verderbend,lie|ber|mög'|ich|das|volk|er|ret|tet|schaun|denn|ver|der|bend
118,1,"Gleich nur ein Ehrengeschenk bereitet mir, daß ich allein nicht",gleich nur ein ehrengeschenk bereitet mir daß ich allein nicht,gleich|nur|ein|eh|ren|ge|schenk|be|rei|tet|mir|daß|ich|al|lein|nicht
119,1,Ungeehrt der Danaer sei; nie wäre das schicklich!,ungeehrt der danaer sei nie wäre das schicklich,un|ge|ehrt|der|da|na|er|sei|nie|wä|re|das|schick|lich
120,1,"Denn das seht ihr alle, daß mein Geschenk mir entgehet.",denn das seht ihr alle daß mein geschenk mir entgehet,denn|das|seht|ihr|al|le|daß|mein|ge|schenk|mir|ent|ge|het
121,1,Ihm antwortete drauf der mutige Renner Achilleus:,ihm antwortete drauf der mutige renner achilleus,ihm|ant|wor|te|te|drauf|der|mu|ti|ge|ren|ner|a|chil|leus
122,1,"Atreus Sohn, ruhmvoller, du habbegierigster aller,",atreus sohn ruhmvoller du habbegierigster aller,a|treus|sohn|ruhm|vol|ler|du|hab|be|gie|rigs|ter|al|ler
123,1,Welches Geschenk verlangst du vom edlen Volk der Achaier?,welches geschenk verlangst du vom edlen volk der achaier,wel|ches|ge|schenk|ver|langst|du|vom|ed|len|volk|der|a|chai|er
124,1,Nirgends wissen wir doch des gemeinsamen vieles verwahret:,nirgends wissen wir doch des gemeinsamen vieles verwahret,nir|gends|wis|sen|wir|doch|des|ge|mein|sa|men|vie|les|ver|wah|ret
125,1,"Sondern so viel wir aus Städten erbeuteten, wurde geteilet;",sondern so viel wir aus städten erbeuteten wurde geteilet,son|dern|so|viel|wir|aus|städ|ten|er|beu|te|ten|wur|de|ge|tei|let
126,1,"Auch nicht ziemt es dem Volke, das einzelne wieder zu sammeln.",auch nicht ziemt es dem volke das einzelne wieder zu sammeln,auch|nicht|ziemt|es|dem|vol|ke|das|ein|zel|ne|wie|der|zu|sam|meln
127,1,Aber entlass' du jetzo dem Gotte sie; und wir Achaier,aber entlass' du jetzo dem gotte sie und wir achaier,a|ber|ent|lass'|du|jet|zo|dem|got|te|sie|und|wir|a|chai|er
128,1,"Wollen sie dreifach ersetzen und vierfach, wenn uns einmal Zeus",wollen sie dreifach ersetzen und vierfach wenn uns einmal zeus,wol|len|sie|drei|fach|er|set|zen|und|vier|fach|wenn|uns|ein|mal|zeus
129,1,"Gönnen wird, der Troer befestigte Stadt zu verwüsten.",gönnen wird der troer befestigte stadt zu verwüsten,gön|nen|wird|der|tro|er|be|fes|tig|te|stadt|zu|ver|wüs|ten
130,1,Gegen ihn rief antwortend der Völkerfürst Agamemnon:,gegen ihn rief antwortend der völkerfürst agamemnon,ge|gen|ihn|rief|ant|wor|tend|der|völ|ker|fürst|a|ga|mem|non
131,1,"Nicht also, wie tapfer du seist, gottgleicher Achilleus,",nicht also wie tapfer du seist gottgleicher achilleus,nicht|al|so|wie|tap|fer|du|seist|gott|glei|cher|a|chil|leus
132,1,"Sinn' auf Trug! Nie wirst du mich schlau umgehn, noch bereden!",sinn' auf trug nie wirst du mich schlau umgehn noch bereden,sinn'|auf|trug|nie|wirst|du|mich|schlau|um|gehn|noch|be|re|den
133,1,"Willst du, indes dir bleibt das Geschenk, daß ich selber umsonst hier",willst du indes dir bleibt das geschenk daß ich selber umsonst hier,willst|du|in|des|dir|bleibt|das|ge|schenk|daß|ich|sel|ber|um|sonst|hier
134,1,"Sitze, des meinen beraubt? und gebietest mir, frei sie zu geben?",sitze des meinen beraubt und gebietest mir frei sie zu geben,sit|ze|des|mei|nen|be|raubt|und|ge|bie|test|mir|frei|sie|zu|ge|ben
135,1,"Wohl denn, wofern mir ein andres verleihn die edlen Achaier,",wohl denn wofern mir ein andres verleihn die edlen achaier,wohl|denn|wo|fern|mir|ein|an|dres|ver|leihn|die|ed|len|a|chai|er
136,1,"Meinem Sinn es erlesend, das mir ein voller Ersatz sei!",meinem sinn es erlesend das mir ein voller ersatz sei,mei|nem|sinn|es|er|le|send|das|mir|ein|vol|ler|er|satz|sei
137,1,"Aber verleihn sie es nicht; dann komm' ich selber, und nehm' es,",aber verleihn sie es nicht dann komm' ich selber und nehm' es,a|ber|ver|leihn|sie|es|nicht|dann|komm'|ich|sel|ber|und|nehm'|es
