line_number,book_number,original_text,verse_normalized,verse_syllabified
10259,16,"Rannten sie wild um die Leiche des Abgeschiednen zu kämpfen,",rannten sie wild um die leiche des abgeschiednen zu kämpfen,rann|ten|sie|wild|um|die|lei|che|des|ab|ge|schied|nen|zu|kämp|fen
10260,16,Mit graunvollem Geschrei; und es rasselten Waffen der Männer.,mit graunvollem geschrei und es rasselten waffen der männer,mit|graun|voll|em|ge|schrei|und|es|ras|sel|ten|waf|fen|der|män|ner
10261,16,"Zeus mit entsetzlicher Nacht umzog das Getümmel des Mordes,",zeus mit entsetzlicher nacht umzog das getümmel des mordes,zeus|mit|ent|setz|li|cher|nacht|um|zog|das|ge|tüm|mel|des|mor|des
10262,16,Daß um den trauten Sohn noch entsetzlicher tobte die Kriegswut.,daß um den trauten sohn noch entsetzlicher tobte die kriegswut,daß|um|den|trau|ten|sohn|noch|ent|setz|li|cher|tob|te|die|kriegs|wut
10263,16,Trojas Söhn' itzt drängten die freudigen Krieger Achaias:,trojas söhn' itzt drängten die freudigen krieger achaias,tro|jas|söhn'|itzt|dräng|ten|die|freu|di|gen|krie|ger|a|chai|as
10264,16,"Denn es sank nicht der feigste der myrmidonischen Männer,",denn es sank nicht der feigste der myrmidonischen männer,denn|es|sank|nicht|der|feigs|te|der|myr|mi|do|ni|schen|män|ner
10265,16,"Er vom Held Agakles erzeugt, der edle Epeigeus:",er vom held agakles erzeugt der edle epeigeus,er|vom|held|a|ga|kles|er|zeugt|der|ed|le|e|pei|geus
10266,16,Welcher mit Macht geboten im wohlbewohnten Budeion,welcher mit macht geboten im wohlbewohnten budeion,wel|cher|mit|macht|ge|bo|ten|im|wohl|be|wohn|ten|bu|dei|on
10267,16,"Ehmals; aber nachdem er den trefflichen Vetter getötet,",ehmals aber nachdem er den trefflichen vetter getötet,eh|mals|a|ber|nach|dem|er|den|treff|li|chen|vet|ter|ge|tö|tet
10268,16,Kam er um Peleus Schutz und der silberfüßigen Thetys;,kam er um peleus schutz und der silberfüßigen thetys,kam|er|um|pe|leus|schutz|und|der|sil|ber|fü|ßi|gen|the|tys
10269,16,Welche zugleich mit Achilleus dem Scharentrenner ihn sandten,welche zugleich mit achilleus dem scharentrenner ihn sandten,wel|che|zu|gleich|mit|a|chil|leus|dem|scha|ren|tren|ner|ihn|sand|ten
10270,16,"Gegen Ilios her, zum Kampf mit den reisigen Troern.",gegen ilios her zum kampf mit den reisigen troern,ge|gen|i|li|os|her|zum|kampf|mit|den|rei|si|gen|tro|ern
10271,16,Der nun faßte den Toten; da warf der strahlende Hektor,der nun faßte den toten da warf der strahlende hektor,der|nun|faß|te|den|to|ten|da|warf|der|strah|len|de|hek|tor
10272,16,Ihm mit dem Steine das Haupt; und ganz voneinander zerbarst es,ihm mit dem steine das haupt und ganz voneinander zerbarst es,ihm|mit|dem|stei|ne|das|haupt|und|ganz|von|ein|an|der|zer|barst|es
10273,16,"Unter dem lastenden Helm, und vorwärts hin auf den Leichnam",unter dem lastenden helm und vorwärts hin auf den leichnam,un|ter|dem|las|ten|den|helm|und|vor|wärts|hin|auf|den|leich|nam
10274,16,Taumelt' er; aber des Todes entseelender Schauer umfloß ihn.,taumelt' er aber des todes entseelender schauer umfloß ihn,tau|melt'|er|a|ber|des|to|des|ent|see|len|der|schau|er|um|floß|ihn
10275,16,"Schmerz ergriff den Patroklos, da tot sein Freund ihm dahinsank.",schmerz ergriff den patroklos da tot sein freund ihm dahinsank,schmerz|er|griff|den|pa|tro|klos|da|tot|sein|freund|ihm|da|hin|sank
10276,16,"Gradan stürmt' er durchs Vordergewühl, mit der Schnelle des Habichts,",gradan stürmt' er durchs vordergewühl mit der schnelle des habichts,grad|an|stürmt'|er|durchs|vor|der|ge|wühl|mit|der|schnel|le|des|ha|bichts
10277,16,Welcher den flüchtigen Schwarm der Star' und Dohlen verfolget:,welcher den flüchtigen schwarm der star' und dohlen verfolget,wel|cher|den|flüch|ti|gen|schwarm|der|star'|und|doh|len|ver|fol|get
10278,16,"So in der Lykier Schar, Patrokleus, reisiger Kämpfer,",so in der lykier schar patrokleus reisiger kämpfer,so|in|der|ly|kier|schar|pa|tro|kleus|rei|si|ger|kämp|fer
10279,16,"Stürmtest du ein und der Troer, ergrimmt um den Tod des Genossen.",stürmtest du ein und der troer ergrimmt um den tod des genossen,stürm|test|du|ein|und|der|tro|er|er|grimmt|um|den|tod|des|ge|nos|sen
10280,16,"Sieh, er traf Sthenelaos, Ithämenes Sohn, an den Nacken",sieh er traf sthenelaos ithämenes sohn an den nacken,sieh|er|traf|sthe|ne|la|os|i|thä|me|nes|sohn|an|den|nac|ken
10281,16,"Mit dem gewaltigen Stein, und zerschmetterte ganz ihm die Sehnen.",mit dem gewaltigen stein und zerschmetterte ganz ihm die sehnen,mit|dem|ge|wal|ti|gen|stein|und|zer|schmet|ter|te|ganz|ihm|die|seh|nen
10282,16,"Rückwärts wichen die ersten des Kampfs, und der strahlende Hektor.",rückwärts wichen die ersten des kampfs und der strahlende hektor,rück|wärts|wi|chen|die|ers|ten|des|kampfs|und|der|strah|len|de|hek|tor
10283,16,"Weit wie die Lanz' im Schwunge, die langgeschaftete, hinfliegt,",weit wie die lanz' im schwunge die langgeschaftete hinfliegt,weit|wie|die|lanz'|im|schwun|ge|die|lang|ge|schaf|te|te|hin|fliegt
10284,16,"Wenn sie ein Mann aussendet mit Kraft, entweder im Kampfspiel,",wenn sie ein mann aussendet mit kraft entweder im kampfspiel,wenn|sie|ein|mann|aus|sen|det|mit|kraft|ent|we|der|im|kampf|spiel
10285,16,"Oder im Schlachtgefild', umdroht von mordenden Feinden:",oder im schlachtgefild' umdroht von mordenden feinden,o|der|im|schlacht|ge|fild'|um|droht|von|mor|den|den|fein|den
10286,16,"So weit wichen die Troer, gedrängt von den Söhnen Achaias.",so weit wichen die troer gedrängt von den söhnen achaias,so|weit|wi|chen|die|tro|er|ge|drängt|von|den|söh|nen|a|chai|as
10287,16,"Glaukos aber zuerst, der geschildeten Lykier Heerfürst,",glaukos aber zuerst der geschildeten lykier heerfürst,glau|kos|a|ber|zu|erst|der|ge|schil|de|ten|ly|kier|heer|fürst
10288,16,"Wandte sich um, und erschlug den großgesinnten Bathykles,",wandte sich um und erschlug den großgesinnten bathykles,wand|te|sich|um|und|er|schlug|den|groß|ge|sinn|ten|ba|thy|kles
10289,16,"Chalkons trefflichen Sohn, der, ein Haus in Hellas bewohnend,",chalkons trefflichen sohn der ein haus in hellas bewohnend,chal|kons|treff|li|chen|sohn|der|ein|haus|in|hel|las|be|woh|nend
10290,16,Reich an Gut und Habe vor Myrmidonen hervorschien:,reich an gut und habe vor myrmidonen hervorschien,reich|an|gut|und|ha|be|vor|myr|mi|do|nen|her|vor|schien
10291,16,"Diesem nunmehr stieß Glaukos die Lanz' in die Mitte des Busens,",diesem nunmehr stieß glaukos die lanz' in die mitte des busens,die|sem|nun|mehr|stieß|glau|kos|die|lanz'|in|die|mit|te|des|bu|sens
10292,16,"Gegen ihn plötzlich gewandt, als schon ihn ereilt der Verfolger;",gegen ihn plötzlich gewandt als schon ihn ereilt der verfolger,ge|gen|ihn|plötz|lich|ge|wandt|als|schon|ihn|er|eilt|der|ver|fol|ger
10293,16,"Dumpf hinkracht' er im Fall. Da ergriff Wehmut die Achaier,",dumpf hinkracht' er im fall da ergriff wehmut die achaier,dumpf|hin|kracht'|er|im|fall|da|er|griff|weh|mut|die|a|chai|er
10294,16,Als der Tapfere sank; doch die Troer freuten sich herzlich;,als der tapfere sank doch die troer freuten sich herzlich,als|der|tap|fe|re|sank|doch|die|tro|er|freu|ten|sich|herz|lich
10295,16,"Und sie umstanden gedrängt den Liegenden: auch die Achaier,",und sie umstanden gedrängt den liegenden auch die achaier,und|sie|um|stan|den|ge|drängt|den|lie|gen|den|auch|die|a|chai|er
10296,16,"Nicht vergessend der Kraft, kühn drangen sie grad' in die Heerschar.",nicht vergessend der kraft kühn drangen sie grad' in die heerschar,nicht|ver|ges|send|der|kraft|kühn|dran|gen|sie|grad'|in|die|heer|schar
10297,16,"Aber Meriones traf den Laogonos unter den Troern,",aber meriones traf den laogonos unter den troern,a|ber|me|ri|o|nes|traf|den|la|o|go|nos|un|ter|den|tro|ern
10298,16,"Tapfer und kühn, den Sohn des Onetor, welcher ein Priester",tapfer und kühn den sohn des onetor welcher ein priester,tap|fer|und|kühn|den|sohn|des|o|ne|tor|wel|cher|ein|pries|ter
10299,16,"War des idäischen Zeus, wie ein Gott im Volke geehret:",war des idäischen zeus wie ein gott im volke geehret,war|des|i|dä|i|schen|zeus|wie|ein|gott|im|vol|ke|ge|eh|ret
10300,16,"Den an Backen und Ohr durchschmettert' er, daß aus den Gliedern",den an backen und ohr durchschmettert' er daß aus den gliedern,den|an|ba|cken|und|ohr|durch|schmet|tert'|er|daß|aus|den|glie|dern
10301,16,Schnell der Geist ihm entfloh; und grauliches Dunkel umfing ihn.,schnell der geist ihm entfloh und grauliches dunkel umfing ihn,schnell|der|geist|ihm|ent|floh|und|grau|li|ches|dun|kel|um|fing|ihn
10302,16,Gegen Meriones schwang den ehernen Speer Äneias;,gegen meriones schwang den ehernen speer äneias,ge|gen|me|ri|o|nes|schwang|den|e|her|nen|speer|ä|nei|as
10303,16,"Denn er hofft' ihn zu treffen, wie unter dem Schild' er dahertrat.",denn er hofft' ihn zu treffen wie unter dem schild' er dahertrat,denn|er|hofft'|ihn|zu|tref|fen|wie|un|ter|dem|schild'|er|da|her|trat
10304,16,"Jener indes vorschauend vermied den ehernen Wurfspieß,",jener indes vorschauend vermied den ehernen wurfspieß,je|ner|in|des|vor|schau|end|ver|mied|den|e|her|nen|wurf|spieß
10305,16,Vorwärts niedergebückt; da flog der gewaltige Speer ihm,vorwärts niedergebückt da flog der gewaltige speer ihm,vor|wärts|nie|der|ge|bückt|da|flog|der|ge|wal|ti|ge|speer|ihm
10306,16,"Über das Haupt in die Erde, daß hinten der Schaft an dem Speere",über das haupt in die erde daß hinten der schaft an dem speere,ü|ber|das|haupt|in|die|er|de|daß|hin|ten|der|schaft|an|dem|spee|re
10307,16,"Zitterte; doch bald ruhte die Kraft des mordenden Erzes,",zitterte doch bald ruhte die kraft des mordenden erzes,zit|ter|te|doch|bald|ruh|te|die|kraft|des|mor|den|den|er|zes
10308,16,"Des ergrimmt' Äneias im mutigen Geist, und begann so:",des ergrimmt' äneias im mutigen geist und begann so,des|er|grimmt'|ä|nei|as|im|mu|ti|gen|geist|und|be|gann|so
10309,16,"Bald, o Meriones, hätte dich leichtgewendeten Tänzer",bald o meriones hätte dich leichtgewendeten tänzer,bald|o|me|ri|o|nes|hät|te|dich|leicht|ge|wen|de|ten|tän|zer
10310,16,"Meine Lanz' auf immer beruhiget, hätt' ich getroffen.",meine lanz' auf immer beruhiget hätt' ich getroffen,mei|ne|lanz'|auf|im|mer|be|ru|hi|get|hätt'|ich|ge|trof|fen
10311,16,Aber der speerberühmte Meriones sagte dagegen:,aber der speerberühmte meriones sagte dagegen,a|ber|der|speer|be|rühm|te|me|ri|o|nes|sag|te|da|ge|gen
10312,16,"Schwer wird dir's, Äneias, wiewohl du ein mächtiger Held bist,",schwer wird dir's äneias wiewohl du ein mächtiger held bist,schwer|wird|dir's|ä|nei|as|wie|wohl|du|ein|mäch|ti|ger|held|bist
10313,16,"Aller Menschen Gewalt zu bändigen, wer dir entgegen",aller menschen gewalt zu bändigen wer dir entgegen,al|ler|men|schen|ge|walt|zu|bän|di|gen|wer|dir|ent|ge|gen
10314,16,Kommt zum Streite gefaßt; auch du bist sterblich geboren.,kommt zum streite gefaßt auch du bist sterblich geboren,kommt|zum|strei|te|ge|faßt|auch|du|bist|sterb|lich|ge|bo|ren
10315,16,"Wenn ich selber dich träf, erzielt mit der Schärfe des Erzes:",wenn ich selber dich träf erzielt mit der schärfe des erzes,wenn|ich|sel|ber|dich|träf|er|zielt|mit|der|schär|fe|des|er|zes
10316,16,"Bald, wie tapfer du bist, und mächtigen Händen vertrauend,",bald wie tapfer du bist und mächtigen händen vertrauend,bald|wie|tap|fer|du|bist|und|mäch|ti|gen|hän|den|ver|trau|end
10317,16,"Gäbst du mir Ruhm, und die Seele dem Sporner der Gaul' Aïdoneus!",gäbst du mir ruhm und die seele dem sporner der gaul' aïdoneus,gäbst|du|mir|ruhm|und|die|see|le|dem|spor|ner|der|gaul'|a|ï|do|neus
10318,16,Jener sprach's; da straft' ihn Menötios' tapferer Sprößling:,jener sprach's da straft' ihn menötios' tapferer sprößling,je|ner|sprach's|da|straft'|ihn|me|nö|ti|os|tap|fe|rer|spröß|ling
10319,16,"Warum, Edler im Streit, Meriones, schwatzest du also?",warum edler im streit meriones schwatzest du also,war|um|ed|ler|im|streit|me|ri|o|nes|schwat|zest|du|al|so
10320,16,"Trautester, nie ja werden vor schmähenden Worten die Troer",trautester nie ja werden vor schmähenden worten die troer,trau|tes|ter|nie|ja|wer|den|vor|schmä|hen|den|wor|ten|die|tro|er
10321,16,"Weichen vom Toten zurück, eh' manchen noch decket die Erde.",weichen vom toten zurück eh' manchen noch decket die erde,wei|chen|vom|to|ten|zu|rück|eh'|man|chen|noch|de|cket|die|er|de
10322,16,"Denn im Arm ist Entscheidung des Kriegs, und des Wortes im Rate.",denn im arm ist entscheidung des kriegs und des wortes im rate,denn|im|arm|ist|ent|schei|dung|des|kriegs|und|des|wor|tes|im|ra|te
10323,16,"Drum nicht Rede zu häufen gebührt uns, sondern zu kämpfen!",drum nicht rede zu häufen gebührt uns sondern zu kämpfen,drum|nicht|re|de|zu|häu|fen|ge|bührt|uns|son|dern|zu|kämp|fen
10324,16,"Sprach's, und eilte voran; ihm folgte der göttliche Streiter.",sprach's und eilte voran ihm folgte der göttliche streiter,sprach's|und|eil|te|vor|an|ihm|folg|te|der|gött|li|che|strei|ter
10325,16,Jetzo wie laut das Getös' holzhauender Männer emporsteigt,jetzo wie laut das getös' holzhauender männer emporsteigt,jet|zo|wie|laut|das|ge|tös'|holz|hau|en|der|män|ner|em|por|steigt
10326,16,"Aus des Gebirgs Waldtal, und weit umher es gehört wird:",aus des gebirgs waldtal und weit umher es gehört wird,aus|des|ge|birgs|wald|tal|und|weit|um|her|es|ge|hört|wird
10327,16,"So dort stieg ein Getön von der weitumwanderten Erde,",so dort stieg ein getön von der weitumwanderten erde,so|dort|stieg|ein|ge|tön|von|der|weit|um|wan|der|ten|er|de
10328,16,"Erzes zugleich und Leders und wohlbereiteter Stierhaut,",erzes zugleich und leders und wohlbereiteter stierhaut,er|zes|zu|gleich|und|le|ders|und|wohl|be|rei|te|ter|stier|haut
10329,16,Unter dem Stoß der Schwerter und zwiefach schneidenden Lanzen.,unter dem stoß der schwerter und zwiefach schneidenden lanzen,un|ter|dem|stoß|der|schwer|ter|und|zwie|fach|schnei|den|den|lan|zen
10330,16,"Nicht wär' itzt, auch ein achtsamer Mann, der den edlen Sarpedon",nicht wär' itzt auch ein achtsamer mann der den edlen sarpedon,nicht|wär'|itzt|auch|ein|acht|sa|mer|mann|der|den|ed|len|sar|pe|don
10331,16,"Kennete; so mit Geschossen, mit Blut ringsher, und mit Staube",kennete so mit geschossen mit blut ringsher und mit staube,ken|ne|te|so|mit|ge|schos|sen|mit|blut|rings|her|und|mit|stau|be
10332,16,War er vom Haupte bedeckt bis hinab zu den äußersten Sohlen.,war er vom haupte bedeckt bis hinab zu den äußersten sohlen,war|er|vom|haup|te|be|deckt|bis|hin|ab|zu|den|äu|ßers|ten|soh|len
10333,16,Immer noch den Toten umschwärmten sie: gleich wie die Fliegen,immer noch den toten umschwärmten sie gleich wie die fliegen,im|mer|noch|den|to|ten|um|schwärm|ten|sie|gleich|wie|die|flie|gen
10334,16,"Sumsen im Meierhof' um die milcherfülleten Eimer,",sumsen im meierhof' um die milcherfülleten eimer,sum|sen|im|mei|er|hof'|um|die|milch|er|fül|le|ten|ei|mer
10335,16,"Im anmutigen Lenz, wann Milch von den Butten herabtrieft:",im anmutigen lenz wann milch von den butten herabtrieft,im|an|mu|ti|gen|lenz|wann|milch|von|den|but|ten|her|ab|trieft
10336,16,Also dort den Toten umschwärmten sie. Aber Kronion,also dort den toten umschwärmten sie aber kronion,al|so|dort|den|to|ten|um|schwärm|ten|sie|a|ber|kro|ni|on
10337,16,Wandte nie vom Getümmel der Schlacht die strahlenden Augen;,wandte nie vom getümmel der schlacht die strahlenden augen,wand|te|nie|vom|ge|tüm|mel|der|schlacht|die|strah|len|den|au|gen
10338,16,"Sondern schaut' auf die Streiter hinab, und vieles im Herzen",sondern schaut' auf die streiter hinab und vieles im herzen,son|dern|schaut'|auf|die|strei|ter|hin|ab|und|vie|les|im|her|zen
10339,16,"Dacht' er über den Tod des Patrokleus, tiefnachsinnend:",dacht' er über den tod des patrokleus tiefnachsinnend,dacht'|er|ü|ber|den|tod|des|pa|tro|kleus|tief|nach|sin|nend
10340,16,"Ob bereits auch jenen, in schreckenvoller Entscheidung,",ob bereits auch jenen in schreckenvoller entscheidung,ob|be|reits|auch|je|nen|in|schre|cken|vol|ler|ent|schei|dung
10341,16,Dort um den hohen Sarpedon die Kraft des strahlenden Hektors,dort um den hohen sarpedon die kraft des strahlenden hektors,dort|um|den|ho|hen|sar|pe|don|die|kraft|des|strah|len|den|hek|tors
10342,16,"Tilgte mit mordendem Erz, und die Wehr von der Schulter ihm raubte;",tilgte mit mordendem erz und die wehr von der schulter ihm raubte,tilg|te|mit|mor|den|dem|erz|und|die|wehr|von|der|schul|ter|ihm|raub|te
10343,16,Oder ob mehrere noch er überhäufte mit Arbeit.,oder ob mehrere noch er überhäufte mit arbeit,o|der|ob|meh|re|re|noch|er|ü|ber|häuf|te|mit|ar|beit
10344,16,Dieser Gedank' erschien dem Zweifelnden endlich der beste:,dieser gedank' erschien dem zweifelnden endlich der beste,die|ser|ge|dank'|er|schien|dem|zwei|feln|den|end|lich|der|bes|te
10345,16,Daß der tapfre Genoß des Peleiaden Achilleus,daß der tapfre genoß des peleiaden achilleus,daß|der|tapf|re|ge|noß|des|pe|lei|a|den|a|chil|leus
10346,16,Wieder der Troer Volk und den erzumschimmerten Hektor,wieder der troer volk und den erzumschimmerten hektor,wie|der|der|tro|er|volk|und|den|erz|um|schim|mer|ten|hek|tor
10347,16,"Rückwärts drängte zur Stadt, und vielen noch raubte das Leben.",rückwärts drängte zur stadt und vielen noch raubte das leben,rück|wärts|dräng|te|zur|stadt|und|vie|len|noch|raub|te|das|le|ben
10348,16,Hektorn sandt' er zuerst unmutige Furcht in die Seele;,hektorn sandt' er zuerst unmutige furcht in die seele,hek|torn|sandt'|er|zu|erst|un|mu|ti|ge|furcht|in|die|see|le
10349,16,"Und er sprang in den Sessel, und wandte sich, rufend den andern",und er sprang in den sessel und wandte sich rufend den andern,und|er|sprang|in|den|ses|sel|und|wand|te|sich|ru|fend|den|an|dern
10350,16,Troern zu fliehn; denn er kannte Kronions heilige Waage.,troern zu fliehn denn er kannte kronions heilige waage,tro|ern|zu|fliehn|denn|er|kann|te|kro|ni|ons|hei|li|ge|waa|ge
10351,16,"Auch nicht Lykias Helden verweileten, sondern gescheucht flohn",auch nicht lykias helden verweileten sondern gescheucht flohn,auch|nicht|ly|ki|as|hel|den|ver|wei|le|ten|son|dern|ge|scheucht|flohn
10352,16,"Alle, nachdem sie den König gesehn, der im Herzen verwundet",alle nachdem sie den könig gesehn der im herzen verwundet,al|le|nach|dem|sie|den|kö|nig|ge|sehn|der|im|her|zen|ver|wun|det
10353,16,"Lag, im Gemisch der Toten gestreckt; denn viel' um ihn selber",lag im gemisch der toten gestreckt denn viel' um ihn selber,lag|im|ge|misch|der|to|ten|ge|streckt|denn|viel'|um|ihn|sel|ber
10354,16,"Sanken in Blut, da den heftigen Streit anstrengte Kronion.",sanken in blut da den heftigen streit anstrengte kronion,san|ken|in|blut|da|den|hef|ti|gen|streit|an|streng|te|kro|ni|on
10355,16,"Jen' entzogen nunmehr von Sarpedons Schulter die Rüstung,",jen' entzogen nunmehr von sarpedons schulter die rüstung,jen'|ent|zo|gen|nun|mehr|von|sar|pe|dons|schul|ter|die|rüs|tung
10356,16,"Schimmernd von Erz, und hinab zu den räumigen Schiffen zu tragen",schimmernd von erz und hinab zu den räumigen schiffen zu tragen,schim|mernd|von|erz|und|hin|ab|zu|den|räu|mi|gen|schif|fen|zu|tra|gen
10357,16,Gab sie den Kampfgenossen Menötios' tapferer Sprößling.,gab sie den kampfgenossen menötios' tapferer sprößling,gab|sie|den|kampf|ge|nos|sen|me|nö|ti|os|tap|fe|rer|spröß|ling
10358,16,Jetzo begann zu Apollon der Herrscher im Donnergewölk Zeus:,jetzo begann zu apollon der herrscher im donnergewölk zeus,jet|zo|be|gann|zu|a|pol|lon|der|herr|scher|im|don|ner|ge|wölk|zeus
10359,16,"Phöbos, geh', o Geliebter, vom dunkelen Blut ihn zu säubern;",phöbos geh' o geliebter vom dunkelen blut ihn zu säubern,phö|bos|geh'|o|ge|lieb|ter|vom|dun|ke|len|blut|ihn|zu|säu|bern
10360,16,"Aus dem Geschoß enthebe Sarpedon, trage darauf ihn",aus dem geschoß enthebe sarpedon trage darauf ihn,aus|dem|ge|schoß|ent|he|be|sar|pe|don|tra|ge|dar|auf|ihn
