word,manually_syllabified_word
kerinthos,ke|rin|thos
klauigen,klau|i|gen
klytämnestra,kly|täm|ne|stra
knäbelein,knä|be|lein
knöchelbedeckung,knö|chel|be|de|ckung
korinthos,ko|rin|thos
koroneia,ko|ro|nei|a
krethon,kre|thon
krokyleia,kro|ky|lei|a
kyparissos,ky|pa|ris|sos
köranos,kö|ra|nos
langragenden,lang|ra|gen|den
laue,lau|e
leibröcke,lei|brö|cke
lethos,le|thos
limnoreia,lim|no|rei|a
lyktos,lyk|tos
machaon,ma|cha|on
meerabrauschenden,meer|ab|rau|schen|den
meerstrand,meer|strand
mekistheus,me|ki|stheus
mekisteiad,me|kis|tei|ad
meliböa,me|li|bö|a
menestheus,me|nes|theus
mideia,mi|dei|a
minyeios,mi|ny|e|i|os
männergeröchel,män|ner|ge|rö|chel
männergebieter,män|ner|ge|bie|ter
männergefilde,män|ner|ge|fil|de
männergetümmel,män|ner|ge|tüm|mel
männergewühl,män|ner|ge|wühl
mära,mä|ra
nachrasselte,nach|ras|sel|te
nachrauschte,nach|rausch|te
nachtobte,nach|tob|te
nachtrab,nach|trab
nacken,na|cken
nackens,na|ckens
nackende,na|cken|de
nackenden,na|cken|den
oben,o|ben
obenher,o|ben|her
obenhin,o|ben|hin
oberste,o|bers|te
obersten,o|bers|ten
obergebieter,o|ber|ge|bie|ter
obergewalt,o|ber|ge|walt
obere,o|be|re
oberen,o|be|ren
oberer,o|be|rer
obstand,ob|stand
ochesions',o|che|si|ons'
odem,o|dem
oder,o|der
okalea,o|ka|le|a
okeanos,o|ke|a|nos
okeanos',o|ke|a|nos'
olenische,o|le|ni|sche
olenischen,o|le|ni|schen
olenos,o|le|nos
olizon,o|li|zon
oloosson,o|lo|os|son
olympier,o|lym|pi|er
olympische,o|lym|pi|sche
olympischen,o|lym|pi|schen
olympischer,o|lym|pi|scher
olympos,o|lym|pos
olympos',o|lym|pos'
onetor,o|ne|tor
opheltios,o|phel|ti|os
ophelestes,o|phe|les|tes
opites,o|pi|tes
opus,o|pus
oresbios,o|res|bi|os
orestes,o|res|tes
orion,o|ri|on
orions,o|ri|ons
oros,o|ros
orsilochos,or|si|lo|chos
otos,o|tos
otrynteide,o|tryn|tei|de
otrynteus,o|tryn|teus
oïleus,o|ï|leus
persephoneia,per|se|pho|nei|a
peräber,pe|rä|ber
periböa,pe|ri|bö|a
pherä,phe|rä
phorkys,phor|kys
phylas,phy|las
phylas',phy|las'
pityeia,pi|ty|ei|a
polyktor,po|lyk|tor
polyämons,po|ly|ä|mons
prötos,prö|tos
reitrosse,reit|ros|se
reuigen,reu|i|gen
rheia,rhei|a
rinderhirt,rin|der|hirt
rossenährenden,ros|sen|äh|ren|den
rossenährender,ros|sen|äh|ren|der
rossenährendes,ros|sen|äh|ren|des
ruhmvoller,ruhm|vol|ler
satniois,sat|ni|o|is
satniois',sat|ni|o|is'
schaue,schau|e
scheue,scheu|e
schlachtreihn,schlacht|reihn
schlechteren,schlech|te|ren
schläfre,schläf|re
schreie,schrei|e
schutte,schutt|e
schönumlockt,schön|um|lockt
siegstaten,siegs|ta|ten
simoeisios,si|mo|ei|si|os
skandeia,skand|ei|a
speio,spei|o
spercheios,sper|chei|os
spercheios',sper|chei|os'
sternumleuchteten,stern|um|leuch|te|ten
tapfre,tapf|re
tauiger,tau|i|ger
telamon,te|la|mon
telamons,te|la|mons
telamonid,te|la|mo|nid
telamonide,te|la|mo|ni|de
telamoniden,te|la|mo|ni|den
telamonier,te|la|mo|ni|er
teutamos',teu|ta|mos'
telemonid,te|le|mo|nid
tereia,te|rei|a
thaleia,tha|lei|a
thersilochos,ther|si|lo|chos
thespeia,thes|pei|a
thryoessa,thry|o|es|sa
thymötes,thy|mö|tes
tiefgehöhltes,tief|ge|höhl|tes
traue,trau|e
trechos,tre|chos
tritogeneia,tri|to|ge|nei|a
trockenen,tro|cke|nen
trözen,trö|zen
trözenos,trö|ze|nos
typhoeus,ty|pho|eus
ufer,u|fer
ufern,u|fern
ufers,u|fers
ukalegon,u|ka|le|gon
unalternd,un|al|ternd
unalternder,un|al|tern|der
unalterndes,un|al|tern|des
untrügliche,un|trüg|li|che
unehelich,un|e|he|lich
verlort,ver|lort
verhießest,ver|hie|ßest
verließest,ver|lie|ßest
vertraue,ver|trau|e
verunehrt,ver|un|ehrt
verödend,ver|ö|dend
verödet,ver|ö|det
verödete,ver|ö|de|te
verödeten,ver|ö|de|ten
verödetes,ver|ö|de|tes
verübet,ver|ü|bet
viergipflichter,vier|gipf|lich|ter
viergipflichtes,vier|gipf|lich|tes
vollend,voll|end
vorstrand,vor|strand
vorbeiflog,vor|bei|flog
vorüber,vor|ü|ber
vorüberflog,vor|ü|ber|flog
vorübergehn,vor|ü|ber|gehn
wegdräng,weg|dräng
weges,we|ges
weinete,wei|ne|te
weineten,wei|ne|ten
weitoffenen,weit|of|fe|nen
wildandrohend,wil|dan|dro|hend
wütrich,wüt|rich
zerstreue,zer|streu|e
zeleia,ze|lei|a
zwiefachrudernden,zwie|fach|ru|dern|den
äakiden,ä|a|ki|den
äakidischen,ä|a|ki|di|schen
äakos,ä|a|kos
äakos',ä|a|kos'
äcker,ä|cker
äckern,ä|ckern
ägeus',ä|geus'
ägis,ä|gis
ägialeia,ä|gi|a|lei|a
ägialos,ä|gi|a|los
ägilips,ä|gi|lips
ägina,ä|gi|na
ägion,ä|gi|on
ägiserschüttrer,ä|gis|er|schütt|rer
ägiserschüttrers,ä|gis|er|schütt|rers
ägiserschütterers,ä|gis|er|schüt|te|rers
ägiserschütternden,ä|gis|er|schüt|tern|den
ägiserschütterer,ä|gis|er|schüt|te|rer
ägä,ä|gä
ägäon,ä|gä|on
ämoniden,ä|mo|ni|den
äneias',ä|nei|as'
änios,ä|ni|os
änos,ä|nos
äpeia,ä|pei|a
äpy,ä|py
äpytischen,ä|py|ti|schen
äsyetes,ä|sye|tes
äsymnos,ä|sym|nos
äsyme,ä|sy|me
äsepos,ä|se|pos
äthe,ä|the
äther,ä|ther
äthers,ä|thers
ätherglanz,ä|ther|glanz
äthiopen,ä|thi|o|pen
äthiker,ä|thi|ker
äthon,ä|thon
äthra,ä|thra
ätoler,ä|to|ler
ätolische,ä|to|li|sche
öchalia,ö|cha|li|a
öchaliers,ö|cha|li|ers
öde,ö|de
öden,ö|den
ödes,ö|des
ödipus,ö|di|pus
öfen,ö|fen
öle,ö|le
öles,ö|les
öneiden,ö|nei|den
öneus',ö|neus'
önops',ö|nops'
önomaos,ö|no|ma|os
öse,ö|se
ötylos',ö|ty|los'
übel,ü|bel
übelwollendem,ü|bel|wol|len|dem
üben,ü|ben
über,ü|ber
übergab,ü|ber|gab
überall,ü|ber|all
überbrückte,ü|ber|brück|te
übereilt,ü|ber|eilt
übereinander,ü|ber|ein|an|der
übergehst,ü|ber|gehst
übergewaltigen,ü|ber|ge|wal|ti|gen
überhängt,ü|ber|hängt
überhäufte,ü|ber|häuf|te
überlassend,ü|ber|las|send
überlebt,ü|ber|lebt
überlegt,ü|ber|legt
übermacht,ü|ber|macht
übermut,ü|ber|mut
übermutes,ü|ber|mu|tes
übermütig,ü|ber|mü|tig
übermütigen,ü|ber|mü|ti|gen
übernahm,ü|ber|nahm
übernehmend,ü|ber|neh|mend
überreicht',ü|ber|reicht'
überschwenglicher,ü|ber|schweng|li|cher
überstarken,ü|ber|star|ken
überstrahlt,ü|ber|strahlt
überstrahlender,ü|ber|strah|len|der
überstreut,ü|ber|streut
überstreut',ü|ber|streut'
übertreibst,ü|ber|treibst
überwand,ü|ber|wand
überwältigt,ü|ber|wäl|tigt
überzugehn,ü|ber|zu|gehn
übest,ü|best
übeten,ü|be|ten
panthoos',pan|tho|os'
hippothoos,hip|po|tho|os
alkathoos,al|ka|tho|os
thoon,tho|on
koon,ko|on
peirithoos,pei|ri|tho|os
peirithoos',pei|ri|tho|os'
autonoos,au|to|no|os
panthoos,pan|tho|os
thootes,tho|o|tes
arsinoos,ar|si|no|os
astynoos,as|ty|no|os
demokoon,de|mo|ko|on
hippokoon,hip|po|ko|on
hipponoos,hip|po|no|os
pronoos,pro|no|os
prothoon,pro|tho|on
prothoos,pro|tho|os
gezäum,ge|zäum
genießen,ge|nie|ßen
euneos,eu|ne|os
äneias,ä|nei|as
eetion,e|e|ti|on
eetions,e|e|ti|ons
noemon,no|e|mon
prothoenor,pro|tho|e|nor
prothoenors,pro|tho|e|nors
aleische,a|le|i|sche
acheloios',a|che|lo|i|os'
aides',a|i|des'
aides,a|i|des
aidoneus,a|i|do|neus
aïdoneus,a|ï|do|neus
aïdoneus',a|ï|do|neus'
obstehn,ob|stehn
obstehn',ob|stehn'
areilykos,a|re|i|ly|kos
areilykos',a|re|i|ly|kos'
briseis,bri|se|is
böbeidischen,bö|be|i|di|schen
chryseis,chry|se|is
deipylos,de|i|py|los
deikoon,de|i|ko|on
deiopites,de|i|o|pi|tes
deiochos,de|i|o|chos
deipyros,de|i|py|ros
deiphobos,de|i|pho|bos
deiphobos',de|i|pho|bos'
kapaneischen,ka|pa|ne|i|schen
kapaneische,ka|pa|ne|i|sche
kyparisseis,ky|pa|ris|se|is
leitos,le|i|tos
leitos',le|i|tos'
messeis,mes|se|is
nais,na|is
nelaischen,ne|la|i|schen
nereiden,ne|re|i|den
neleiaden,ne|le|i|a|den
oileus,o|i|leus
oileus',o|i|leus'
selleis,sel|le|is
troerinnen,tro|er|in|nen
troerin,tro|er|in
amphitoe,am|phi|to|e
gonoessa,go|no|es|sa
kymothoe,ky|mo|tho|e
thoe,tho|e
tydeus,ty|deus
tydeus',ty|deus'
menötiaden,me|nö|ti|a|den
menötiad,me|nö|ti|ad
menötios,me|nö|ti|os
menötios',me|nö|ti|os
helios',he|li|os'
helios,he|li|os
klytios,kly|ti|os
klytios',kly|ti|os'
mulios,mu|li|os
mulios',mu|li|os'
alkyon',al|ky|on'
alkyon,al|ky|on
alkyone,al|ky|o|ne
bäum,bäum
bäum',bäum'
dexias,de|xi|as
dexias',de|xi|as'
gyrtias,gyr|ti|as
gyrtias',gyr|ti|as'
parthenios,par|the|ni|os
parthenios',par|the|ni|os'
strophios,stro|phi|os
strophios',stro|phi|os'
talysios,ta|ly|si|os
talysios',ta|ly|si|os'
thronios,thro|ni|os
thronios',thro|ni|os'
schrien,schrien
aufschrien,auf|schrien
daherschrien,da|her|schrien
ältsten,ält|sten
brieten,brie|ten
genießt,ge|nießt
riet,riet
genieß,ge|nieß
genießend,ge|nie|ßend
genießet,ge|nie|ßet
rieten,rie|ten
knien,knien
achai'rinnen,a|chai'|rin|nen
acheloïos',a|che|lo|ï|os'
ackergefild',a|cker|ge|fild'
ahn',ahn'
ahnend,ah|nend
aichaiern,ai|chai|ern
aleïsche,a|le|ï|sche
alkyon,al|ky|on
all',all'
alljetzt,all|jetzt
altend,al|tend
amarinkeus,a|ma|rin|keus
amarynkeus,a|ma|ryn|keus
amisodaros,a|mi|so|da|ros
anchisiad',an|chi|si|ad'
andrämonid',an|drä|mo|nid'
anfuhrt,an|fuhrt
annehm',an|nehm'
anschirrete,an|schir|re|te
anschlöss',an|sch|löss'
anstürm',an|stürm'
anthenions,an|the|ni|ons
antonoos,an|to|no|os
aphionome,a|phi|o|no|me
apäsos,a|pä|sos
areïlykos',a|re|ï|ly|kos'
areïthoos,a|re|ï|tho|os
arges,ar|ges
arges',ar|ge|s'
arisbas',a|ris|bas'
assakaros',as|sa|ka|ros'
atreion',a|trei|on'
aufbrodelnd,auf|bro|delnd
aufbrummenden,auf|brum|men|den
aug',aug'
ausbrannt',aus|brannt'
ausdaurender,aus|dau|ren|der
ausdaurendes,aus|dau|ren|des
ausharrendes,aus|har|ren|des
auskoren,aus|ko|ren
ausschweifendes,aus|schwei|fen|des
auszög',aus|zög'
autophonos,au|to|pho|nos
aïdes,a|ï|des
aïdes',a|ï|des'
aïdoneus,a|ï|do|neus
aïs,a|ïs
bahr',bahr'
bandens,ban|dens
bang',bang'
bedenk',be|denk'
beding',be|ding'
begegn',be|gegn'
begehr',be|gehr'
beginn',be|ginn'
begleit',be|gleit'
behalt',be|halt'
beharr',be|harr'
behend',be|hend'
behielt',be|hielt'
beinah',bei|nah'
beisteh',bei|steh'
bekenn',be|kenn'
belad',be|lad'
bereit',be|reit'
berglöw',berg|löw'
berufende,be|ru|fen|de
berührt,be|rührt
bescepterten,be|scep|ter|ten
bescepterter,be|scep|ter|ter
beschlagen,be|schla|gen
beschließ',be|schließ'
beschwör',be|schwör'
besorg',be|sorg'
bestaubt,be|staubt
besteigend',be|stei|gend'
betraur',be|traur'
betrauren,be|trau|ren
betraurend,be|trau|rend
betret',be|tret'
bett',bett'
beug',beug'
beut',beut'
bewein',be|wein'
beweint',be|weint'
bewirt',be|wirt'
bewundert,be|wun|dert
bezwungenes,be|zwun|ge|nes
bezähmendes,be|zäh|men|des
biet',biet'
bind',bind'
bleib',bleib'
blum',blum'
bläss',bläss'
blöd',blöd'
boagrios,bo|a|gri|os
bogenkund',bo|gen|kund'
brach',brach'
bracht',bracht'
brand',brand'
brannt',brannt'
brau',brau'
brausendes,brau|sen|des
breiteres,brei|te|res
bring',bring'
briseïs,bri|se|ïs
brächt',brächt'
bukolos,bu|ko|los
bundesgenoss',bun|des|ge|noss'
buntgefleckt,bunt|ge|fleckt
bänd',bänd'
böbeïdischen,bö|be|ï|di|schen
bös',bös'
böt',böt'
cedern,ce|dern
charopos,cha|ro|pos
chryseïs,chry|se|ïs
cikaden,ci|ka|den
dacht',dacht'
dardalios,dar|da|li|os
dardanion',dar|da|ni|on'
daucht,daucht
daurenden,dau|ren|den
daurendes,dau|ren|des
deck',deck'
denk',denk'
deriböa,de|ri|bö|a
deïkoon,de|ï|ko|on
deïochos,de|ï|o|chos
deïopites,de|ï|o|pi|tes
deïphobos,de|ï|pho|bos
deïphobos',de|ï|pho|bos'
deïpylos,de|ï|py|los
deïpyros,de|ï|py|ros
drach',drach'
dreifüß',drei|füß'
dresos,dre|sos
dritt',dritt'
droh',droh'
duld',duld'
dumpfrufender,dumpf|ru|fen|der
durchbreche,durch|bre|che
durcheilet,durch|ei|let
durchmachend,durch|ma|chend
durchwander',durch|wan|der'
durchwandl',durch|wandl'
durft',durft'
eh',eh'
ehemals,e|he|mals
ehr',ehr'
ehrsucht,ehr|sucht
eil',eil'
eilendes,ei|len|des
ein',ein'
einfugender,ein|fu|gen|der
eingeh',ein|geh'
eingeht,ein|geht
einmütiges,ein|mü|ti|ges
einnahmt,ein|nahmt
einsames,ein|sa|mes
einsetzen,ein|set|zen
einstieg,ein|stieg
einteilend,ein|tei|lend
einteilte,ein|teil|te
einwendung,ein|wen|dung
eiteles,ei|te|les
empfang',em|pfang'
emporhub,em|por|hub
end',end'
eng',eng'
entblößtem,ent|blöß|tem
entbrannt',ent|brannt'
enteil',ent|eil'
entfall',ent|fall'
entflieh',ent|flieh'
entgegengerennt,ent|ge|gen|ge|rennt
entlass',ent|lass'
entraftest,ent|raf|test
entrönn',ent|rönn'
entsag',ent|sag'
entschloßne,ent|schloß|ne
entschloßnen,ent|schloß|nen
entschlüpft,ent|schlüpft
entsend',ent|send'
entstammten,ent|stamm|ten
enttrüg',ent|trüg'
entziehend,ent|zie|hend
epidauros,epi|dau|ros
erachtete,er|ach|te|te
erb',erb'
erbarmendes,er|bar|men|des
erbiet',er|biet'
erblick',er|blick'
erd',erd'
erduld',er|duld'
erfreu',er|freu'
erfüll',er|füll'
erhabeneren,er|ha|be|ne|ren
erhasch',er|hasch'
erinnr',er|innr'
eriopis,e|ri|o|pis
erkanntest,er|kann|test
erkauf',er|kauf'
erkenn',er|kenn'
erklär',er|klär'
erlass',er|lass'
erleg',er|leg'
ermahn',er|mahn'
erneun,er|neun
ernt',ernt'
ernährt',er|nährt'
errett',er|rett'
erschallen,er|schal|len
erschein',er|schein'
erschlag',er|schlag'
erschlüg',er|schlüg'
erschöpf',er|schöpf'
erseh',er|seh'
erseufzt,er|seufzt
erteil',er|teil'
erwart',er|wart'
erwäg',er|wäg'
erwähl',er|wähl'
erzgeschmeid',erz|ge|schmeid'
erzähl',er|zähl'
esch',esch'
eteokles,e|te|o|kles
euenos,eu|e|nos
eurydamas,eu|ry|da|mas
eusoros',eu|so|ros'
euämonid',eu|ä|mo|nid'
eëriböa,e|ë|ribö|a
eëtions,e|ë|ti|ons
eïoneus,e|ï|o|neus
fah',fah'
fahrende,fah|ren|de
fall',fall'
fallstrick,fall|strick
fass',fass'
feier',fei|er'
feig',feig'
feiges,fei|ges
feirend,fei|rend
feld',feld'
felsenhohn,fel|sen|hohn
fern',fern'
fernhintreffenden,fern|hin|tref|fen|den
fers',fers'
fers'erreichende,fers'|er|rei|chen|de
fertigkeit,fer|tig|keit
find',find'
flamm',flamm'
flatterndes,flat|tern|des
fleh',fleh'
flieg',flieg'
fließ',fließ'
flug',flug'
flög',flög'
foderte,fo|der|te
folg',folg'
forder',for|der'
forschendes,for|schen|des
fortschreitet,fort|schrei|tet
fradmons',frad|mons'
fremd',fremd'
freud',freud'
freudiges,freu|di|ges
fried',fried'
frische,fri|sche
früh',früh'
früheres,frü|he|res
funkelndes,fun|keln|des
fährt',fährt'
fügsames,füg|sa|mes
fügt,fügt
fühl',fühl'
führ',führ'
füß,füß
gab',gab'
gaffenden,gaf|fen|den
gall',gall'
gang',gang'
gaul',gaul'
gaule,gau|le
geb',geb'
gebeut',ge|beut'
gebiet',ge|biet'
gebognen,ge|bo|gnen
gedenk',ge|denk'
gedächt',ge|dächt'
geflügeltes,ge|flü|gel|tes
gefodert,ge|fo|dert
gefolg',ge|fol|g'
geh',geh'
geheg',ge|heg'
gehobenes,ge|ho|be|nes
gehorch',ge|horch'
gehäus',ge|häus'
gehügelten,ge|hü|gel|ten
geklipp',ge|klipp'
gelob',ge|lob'
gelübd',ge|lübd'
gemeng',ge|meng'
gemord',ge|mord'
geneuß,ge|neuß
geneußt,ge|neußt
genäht,ge|näht
gerad',ge|rad'
gerichtplatz,ge|richt|platz
gernausteilenden,gern|aus|tei|len|den
gerst',gerst'
gerundete,ge|run|de|te
gescheh',ge|scheh'
geschoß',ge|schoß'
geschwind',ge|schwind'
geschäh',ge|schä|h'
gesell',ge|sell'
geseufz',ge|seufz'
gesind',ge|sind'
gesondertes,ge|son|der|tes
getös',ge|tös'
gewasserten,ge|was|ser|ten
gewogenes,ge|wo|ge|nes
gewähr',ge|währ'
gewölb',ge|wölb'
gewölbetem,ge|wöl|be|tem
gewürg',ge|würg'
geziemts,ge|ziemts
gezucket,ge|zu|cket
gezweig',ge|zweig'
gieriges,gie|ri|ges
glaubt',glaubt'
glänzendweiß,glän|zend|weiß
gnad',gnad'
gold',gold'
graunvolles,graun|voll|es
graus,graus
grenz',grenz'
greuliche,greu|li|che
greulichen,greu|li|chen
grott',grott'
grund',grund'
größ',größ'
götterschar,göt|ter|schar
göttliches,gött|li|ches
gürt',gürt'
hab',hab'
haid',haid'
halbgrauendes,halb|grau|en|des
haliartos,ha|li|ar|tos
hall',hall'
hals',hals'
halt',halt'
hang',hang'
harf',harf'
harr',harr'
hatt',hatt'
haub',haub'
haupt',haupt'
haus',haus'
heb',heb'
heft',heft'
heftiges,hef|ti|ges
heilsweissagendes,heils|weis|sa|gen|des
heimkehr',heim|kehr'
heiß',heiß'
hekatomb',he|ka|tomb'
helf',helf'
herauszieht,her|aus|zieht
herauszog,her|aus|zog
herführ',her|führ'
herkommenden,her|kom|men|den
hermos,her|mos
herrschendes,herr|schen|des
herrscht,herrscht
herschwebtest,her|schweb|test
heut',heut'
hier',hier'
hierhertrieb,hier|her|trieb
hilfest,hil|fest
himmelwagen,him|mel|wa|gen
hinaustrüg',hin|aus|trüg'
hinführo,hin|füh|ro
hingeh',hin|geh'
hinkineend,hin|knie|end
hinknieend,hin|knie|end
hinschwind',hin|schwind'
hinsink',hin|sink'
hinstürz',hin|stürz'
hinwegräum',hin|weg|räum'
hippodamas',hip|po|da|mas'
hocherhabne,hoch|er|hab|ne
hochherziges,hoch|her|zi|ges
hochprangendes,hoch|pran|gen|des
hochtrotzendes,hoch|trot|zen|des
hochwipfliche,hoch|wipf|li|che
hof',hof'
hoff',hoff'
hord',hord'
hyad',hy|ad'
hypeinor,hy|pe|i|nor
hälft',hälft'
hämonid',hä|mo|nid'
häng',häng'
hängenden,hän|gen|den
hätt',hätt'
höh',höh'
höheres,hö|he|res
hör',hör'
hörer,hö|rer
höret',hö|ret'
höreten,hö|re|ten
hüft',hüft'
hüll',hüll'
hüllt,hüllt
hürd',hürd'
ialmenos,i|al|me|nos
ialyssos,i|a|lys|sos
ianeira,i|a|nei|ra
iaolkos,i|a|ol|kos
idagebirg',i|da|ge|birg'
idis,i|dis
ihrenthalb,ihr|ent|halb
imbrasos,im|bra|sos
ingeheim,in|ge|heim
irr',irr'
ithämenes,i|thä|me|nes
jauchzendes,jauch|zen|des
jed',jed'
jungfrauen,jung|frau|en
jüngeres,jün|ge|res
jüngst',jüngst'
kalliaros,kal|li|a|ros
kallinassa,kal|li|nas|sa
kampfeskund',kamp|fes|kund'
kannt',kannt'
kapaneiad',ka|pa|nei|ad'
kapaneïsche,ka|pa|ne|ï|sche
kapaneïschen,ka|pa|ne|ï|schen
kaufen,kau|fen
kaystrios,ka|y|stri|os
kehl',kehl'
kehr',kehr'
kenn',kenn'
ker,ker
klag',klag'
kling',kling'
knab',knab'
knie',knie'
kniee,knie|e
knieen,knie|en
komm',komm'
konnt',konnt'
kostet',kos|tet'
kreis',kreis'
kremna,krem|na
kriegesgetöse,krie|ges|ge|tö|se
kriegrisches,krieg|ri|sches
kriegserfahrung,kriegs|er|fah|rung
kriegsfrohe,kriegs|fro|he
kriegsfrohen,kriegs|fro|hen
kriegsgeschwader,kriegs|ge|schwa|der
kriegsgraun,kriegs|graun
kripp',kripp'
kronid',kro|nid'
krug',krug'
kräusel,kräu|sel
kyparisseïs,ky|pa|ris|se|ïs
käm',käm'
kämpf',kämpf'
könnt',könnt'
köstliches,köst|li|ches
kühnausharrenden,kühn|aus|har|ren|den
küßt,küßt
labeten,la|be|ten
labt',labt'
laertiad',la|er|ti|ad'
land',land'
lang',lang'
langes,lan|ges
langgeschafteten,lang|ge|schaf|te|ten
lanzenkund',lan|zen|kund'
lass',lass'
lauben,lau|ben
lauf',lauf'
laur',laur'
laur't,laur't
laurend,lau|rend
laurende,lau|ren|de
laurenden,lau|ren|den
laurender,lau|ren|der
lautdrohende,laut|dro|hen|de
lautete,lau|te|te
lautjammernd,laut|jam|mernd
lautrufend,laut|ru|fend
leb',leb'
leg',leg'
leib',leib'
leich',leich'
leis',leis'
leit',leit'
lend',lend'
lenk',lenk'
lern',lern'
leug'n,leug'n
leïtos,le|ï|tos
leïtos',le|ï|tos'
lieb',lieb'
lieblichwallenden,lieb|lich|wal|len|den
lieg',lieg'
loh',loh'
lohnet,loh|net
lykierland',ly|kier|land'
läng',läng'
lös',lös'
lösegeschenk,lö|se|ge|schenk
mach,mach
mauren,mau|ren
maurenzertrümmrer,mau|ren|zer|trümm|rer
maß',maß'
meierhof',mei|er|hof'
mein',mein'
meint',meint'
mekisteiad',me|kis|tei|ad'
mekistheus',me|kis|theus'
meld',meld'
meng',meng'
mentes,men|tes
menötiad',me|nö|ti|ad'
merk',merk'
messeïs,mes|se|ïs
minyeïos,mi|ny|e|ï|os
misch',misch'
mitt',mitt'
mocht',mocht'
molligen,mol|li|gen
mord',mord'
mordetest,mor|de|test
mund',mund'
mykalessos,my|ka|les|sos
myrine,my|ri|ne
myrmidonisches,myr|mi|do|ni|sches
myrsinos,myr|si|nos
mähn',mähn'
möcht',möcht'
mög',mög'
müd',müd'
müh',müh'
müßt',müßt'
nachred',nach|red'
nachstürmendes,nach|stür|men|des
nachtrab',nacht|rab'
nagendes,na|gen|des
nah',nah'
nahtest,nah|test
najad',na|jad'
nannt',nannt'
naïs,na|ïs
nehm',nehm'
nelaïschen,ne|la|ï|schen
neleïaden,ne|le|ï|a|den
nereïden,ne|re|ï|den
netz',netz'
nichten,nich|ten
nichtiges,nich|ti|ges
nichtsgeachteten,nichts|ge|ach|te|ten
niederduck',nie|der|duck'
niedergebeugt,nie|der|ge|beugt
niederschlag,nie|der|schlag
niedersteig',nie|der|steig'
noëmon,no|ë|mon
numehr,nu|mehr
nymph',nym|ph'
näh',näh'
nähr',nähr'
ober,o|ber
ochesios,o|che|si|os
offner,off|ner
ohn',ohn'
onchestos,on|che|stos
otreus,ot|re|us
oïleus',o|ï|le|us'
panzergeschmeid',pan|zer|ge|schmeid'
parrhasos,parr|ha|sos
parthenios,par|the|ni|os
peireos,pei|re|os
peleion',pe|lei|on'
pelias,pe|li|as
pergasos,per|ga|sos
perieres,pe|ri|e|res
pfann',pfann'
pfiff',pfiff'
pflanz',pflanz'
pfleg',pfleg'
pfort',pfort'
pheneos,phe|ne|os
phera,phe|ra
philake,phi|la|ke
phtia,phti|a
phtias,phti|as
phtiern,phti|ern
phyleid',phy|leid'
plag',plag'
plejad',ple|jad'
preis',preis'
prothoënor,pro|tho|ë|nor
prothoënors,pro|tho|ë|nors
pythos,py|thos
pytia,py|ti|a
rach',rach'
rag',rag'
rast',rast'
raub',raub'
red',red'
redliches,red|li|ches
reich',reich'
reisgebund,reis|ge|bund
restlichen,rest|li|chen
rhythios,rhy|thi|os
riefs,riefs
ringsumleuchtendes,rings|um|leuch|ten|des
ringsumprallt,rings|um|prallt
ringsverschlossenen,rings|ver|schlos|se|nen
ripe,ri|pe
ritterlich,rit|ter|lich
rossebespannten,ros|se|be|spann|ten
ruchtbare,rucht|ba|re
ruchtbaren,rucht|ba|ren
rufte,ruf|te
ruften,ruf|ten
ruh',ruh'
räch',räch'
räng',räng'
räuchwerk,räuch|werk
röck',röck'
rötliches,röt|li|ches
rühm',rühm'
rüst',rüst'
safrangewand',saf|ran|ge|wand'
sag',sag'
salamins,sa|la|mins
salb',salb'
sanfteingleitender,sanft|ein|glei|ten|der
sangarios,san|ga|ri|os
scepter,scep|ter
scepters,scep|ters
schaff',schaff'
schal',schal'
schalt',schalt'
schand',schand'
scharfklauigen,scharf|klau|i|gen
schau',schau'
scheeles,schee|les
scheib',scheib'
scheid',scheid'
schelt',schelt'
schenk',schenk'
scheu',scheu'
schien',schien'
schimmert',schim|mert'
schirr',schirr'
schlachtfeld',schlacht|feld'
schlachtgefild',schlacht|ge|fild'
schlang',schlang'
schleudert',schleu|dert'
schlüpf',schlüpf'
schmaus',schmaus'
schneid',schneid'
schreckengestalt,schre|cken|ge|stalt
schwad',schwad'
schweiften,schweif|ten
schweig',schweig'
schwell',schwell'
schwellendes,schwel|len|des
schweraufseufzend,schwer|auf|seuf|zend
schwing',schwing'
schwung',schwung'
schwör',schwör'
schwül',schwül'
schärf',schärf'
schöneste,schö|nes|te
schöngeglättet,schön|ge|glät|tet
schönos,schö|nos
seel',seel'
seh',seh'
seit',seit'
selagos,se|la|gos
selleïs,sel|le|ïs
semoeisios,se|mo|ei|si|os
send',send'
sendern,sen|dern
setz',setz'
seufz',seufz'
sieh',sieh'
silbener,sil|be|ner
sitz',sitz'
sollt',sollt'
sonn',sonn'
sorg',sorg'
spang',spang'
speerwurfs,speer|wurfs
speis',speis'
sprach',sprach'
sprachs,sprachs
sprich's,sprich's
springt',springt'
spritzt,spritzt
sprängest,sprän|gest
späh',späh'
spül',spül'
stab',stab'
stampfendes,stamp|fen|des
staub',staub'
staubendem,stau|ben|dem
staubender,stau|ben|der
stauden,stau|den
steckt,steckt
steh',steh'
steig',steig'
stemmigen,stem|mi|gen
sterb',sterb'
steur',steur'
stimm',stimm'
andrämons,an|drä|mons
streb',streb'
streck',streck'
streifendes,strei|fen|des
streuet,streu|et
striem',striem'
strophios,stro|phi|os
stund',stund'
stunden,stun|den
